Tarifpunkt,IBNR,Bahnhofstatus,Verbund,Regionen,Gleichstellung zu beachten
Aachen Hbf,1,HAST,AVV,299,*
Aachen-Rothe Erde,406,NAST,AVV,299,*
Aachen Schanz,405,NAST,AVV,299,*
Aachen Süd(Gr),403,AST,AVV,,
Aachen West,404,NAST,AVV,299,*
Aalen Hbf,2,HAST,OAM,"2,402,115",*
Abenden,411,NAST,,65,
Abensberg,410,NAST,,314,
Achern,412,NAST,TGO,681,
Achern Stadt,408,NAST,TGO,681,
Achim,413,NAST,VBN,9,
Achkarren,425,NAST,RVF,29,
Achmer,414,NAST,,58,
Achterwehr,416,NAST,SHT,288,
Adelebsen,418,NAST,VSN,112,
Adelschlag,419,NAST,,314,
Adelsdorf(Mittelfr),420,NAST,VGN,57,
Adelsheim Nord,423,NAST,VRN,469,
Adelsheim Ost,424,NAST,VRN,278,
Adorf(Erzgeb),11002,NAST,VMS,33,
Adorf(Vogtl),10001,NAST,VVV,268,
Affaltrach,431,NAST,HNV,243,
Agathenburg,434,NAST,HVV,126,
Aglasterhausen,543,NAST,VRN,131,
Aha,436,NAST,RVF,21,
Ahaus,437,NAST,VGM,102,
Ahlen(Westf),441,NAST,VGM,242,
Ahlhorn,442,NAST,VBN,396,
Ahlten,443,NAST,GVH,111,
Ahnatal-Casselbreite,457,NAST,NVV,476,
Ahnatal-Heckersh.,2675,NAST,NVV,476,
Ahnatal-Weimar,6286,NAST,NVV,476,
Ahrain,444,NAST,,265,
Ahrbrück,1209,NAST,VRM,32,
Ahrensburg,446,NAST,HVV,14,*
Ahrensburg-Gartenh.,480,NAST,HVV,14,*
Ahrensfelde,11003,NAST,VBB,1034,*
Ahrensfelde Friedhof,11004,NAST,VBB,1034,
Ahrensfelde Nord,11005,NAST,VBB,1034,
Ahrweiler,448,NAST,VRM,32,*
Ahrweiler Markt,449,NAST,VRM,32,*
Aich(Niederbay),451,NAST,,93,
Aichach,452,NAST,AVV,310,
Aichstetten,454,NAST,BOD,430,
Aidenbach,455,NAST,VLP,473,
Ainring,459,NAST,,142,
Aistaig,460,NAST,VVR,204,
Aitrang,461,NAST,,59,
Albbruck,463,NAST,WTV,330,
Albersdorf,464,NAST,SHT,500,
Albersweiler(Pfalz),466,NAST,VRN,253,
Albig,468,NAST,RNN,156,
Albrechtshof,11008,NAST,VBB,1031,*
Albshausen,471,NAST,RMV,698,
Albsheim(Eis),470,NAST,VRN,11,
Albstadt-Ebingen,473,NAST,NAL,399,
Albstadt-EbingenWest,472,NAST,NAL,399,
Albstadt-Laufen Ort,474,NAST,NAL,399,
Albstadt-Lautlingen,475,NAST,NAL,399,
Aldekerk,477,NAST,VRR,141,
Aldingen(b Spaich),481,NAST,TUT,206,
Aletshausen,482,NAST,,413,
Alfeld(Leine),483,NAST,,116,
Alfhausen,486,NAST,,396,
Alfter-Impekoven,495,NAST,VRS,443,
Alfter-Witterschlick,6516,NAST,VRS,443,
Algermissen,488,NAST,,81,
Aligse,489,NAST,GVH,83,
Allendorf(Dillkr),492,NAST,,274,
Allensbach,496,NAST,VHB,485,
Allersberg(Rothsee),498,NAST,VGN,314,
Allmendingen,499,NAST,DIN,399,
Alpen,500,NAST,VRR,166,
Alpirsbach,501,NAST,VGF,206,
Alsdorf-Annapark,502,NAST,AVV,299,
Alsdorf-Busch,507,NAST,AVV,299,
Alsdorf-Kellersberg,521,NAST,AVV,299,
Alsdorf-Mariadorf,527,NAST,AVV,299,
Alsdorf-Poststraße,510,NAST,AVV,299,
Alsenz,505,NAST,VRN,437,
Alsfeld(Oberhess),350,NAST,RMV,344,
Alsheim,506,NAST,VRN,71,
Altbach,508,NAST,VVS,137,
Altdöbern,11016,NAST,VBB,448,
Altdorf(b Nürnberg),509,NAST,VGN,314,
Altdorf West,504,NAST,VGN,314,
Altefähr,11017,NAST,,1091,
Altena(Westf),513,NAST,VRL,164,
Altenahr,514,NAST,VRM,32,
Altenau(Bay),515,NAST,,125,
Altenbach,11018,NAST,MDV,1133,
Altenbamberg,517,NAST,RNN,437,
Altenbeken,4,HAST,HST,"112,340,420,38",
Altenberge,518,NAST,VGM,459,
Altenbruch,519,NAST,,34,
Altenburg,10003,AST,MDV,"1037,477",
Altendorf(b Nabburg),523,NAST,,418,
Altenerding,524,NAST,MVV,264,
Altenfeld(Rhön),525,NAST,RMV,16,
Altenglan,491,NAST,,194,
Altengörs,526,NAST,SHT,495,
Altengronau,528,NAST,RMV,343,
Altenhasungen,530,NAST,NVV,476,
Altenkirchen(Ww),351,NAST,VRM,257,
Altenmarkt(Alz),533,NAST,,49,
Altenschwand,536,NAST,VLC,407,
Altenseelbach,537,NAST,,274,
Altenstadt(Hess),538,NAST,RMV,336,
Altenstadt(Iller),539,NAST,DIN,409,
Altenstadt(Waldnaab),540,NAST,,153,
Altenstadt-Höchst,2886,NAST,RMV,336,
Altenstadt-Lindheim,3698,NAST,RMV,336,
Altensteig,541,NAST,VGC,266,
Altentreptow,11025,NAST,,1204,
Altenwalde,542,NAST,,34,
Altenwillershagen,11027,NAST,,8,
Altersbach,11028,NAST,,45,
Altes Lager,11968,NAST,VBB,1111,
Alte Veste,511,NAST,VGN,52,*
Altglashütten-Falk.,544,NAST,RVF,21,
Althegnenberg,545,NAST,AVV,310,
Altheim(Hess),546,NAST,RMV,254,
Althengstett,548,NAST,VGC,3,
Althof,11031,NAST,VVW,1212,
Alt Hüttendorf,11011,NAST,VBB,316,
Altingen(Württ),549,NAST,NAL,470,
Altmannstein,552,NAST,,12,
Altmittweida,11033,NAST,VMS,60,
Altmorschen,553,NAST,NVV,294,
Altomünster,556,NAST,MVV,264,
Altötting,555,NAST,,49,
Altranft,11034,NAST,VBB,1231,
Alt Rosenthal,11014,NAST,VBB,1034,
Altruppin,11035,NAST,VBB,1358,
Altshausen,559,NAST,BOD,485,
Altstädten(Allgäu),561,NAST,,412,
Alttann,562,NAST,BOD,430,
Alzenau(Unterfr),531,NAST,VAB,455,*
Alzenau Burg,535,NAST,VAB,455,*
Alzenau Nord,529,NAST,VAB,455,*
Alzey,7,AST,VRN,"11,156",
Alzey Süd,558,NAST,VRN,11,
Amalienhütte,565,NAST,,218,
Amberg,566,NAST,VGN,418,
Ammern,11029,NAST,,1088,
Amorbach,575,NAST,VAB,157,
Ampfing,576,NAST,,264,
Amsdorf,11038,NAST,,1042,
Amstetten(Württ),577,NAST,DIN,427,
Amtshainersdorf,11039,NAST,VVO,1096,
Andernach,331,NAST,VRM,222,
Angermund,579,NAST,VRR,690,*
Angermünde,10004,NAST,VBB,1122,
Angern-Rogätz,11042,NAST,MAR,1179,
Angersbach,580,NAST,RMV,165,
Angersdorf,11043,NAST,MDV,1042,*
Anklam,11044,NAST,,1003,
Annaberg-Buchholz M,11045,NAST,VMS,1361,*
Annaberg-Buchholz S,10005,NAST,VMS,1361,*
Annaberg-Buchh u Bf,11047,NAST,VMS,1361,*
Annaburg,11048,NAST,MDV,1160,
Annweiler am Trifels,582,NAST,VRN,253,*
Annweiler-Sarnstall,5257,NAST,VRN,253,*
Annweiler West,587,NAST,VRN,253,*
Anrath,584,NAST,VRR,694,
Ansbach,9,HAST,VGN,"101,6,10,109",
Antonsthal,11049,NAST,VMS,35,
Anwanden,588,NAST,VGN,10,
Anzefahr,589,NAST,RMV,284,
Anzenkirchen,590,NAST,VRI,93,
Apach(fr),591,NAST,,186,
Apen,593,NAST,,281,
Apensen,594,NAST,HVV,126,
Apolda,11051,NAST,VMT,398,
Appenweier,596,NAST,TGO,681,
Ardey,597,NAST,VRL,234,
Arensdorf(Köthen),11053,NAST,MDV,1027,
Arenshausen,11054,NAST,,1321,
Arfurt(Lahn),599,NAST,RMV,51,
Armsheim,602,NAST,RNN,156,
Arnbach,603,NAST,MVV,264,
Arnsberg(Westf),605,NAST,VRL,260,
Arnschwang,606,NAST,VLC,407,
Arnsdorf(Dresden),10006,AST,VVO,"1115,363",
Arnstadt Hbf,10007,NAST,VMT,484,*
Arnstadt Süd,11055,NAST,VMT,484,*
Arrach,610,NAST,VLC,407,
Arsbeck,611,NAST,,110,
Artern,12440,NAST,,1067,
Arzberg(Oberfr),613,NAST,VGN,139,
Aschaffenburg Hbf,10,HAST,VAB,"118,455,456,157",*
Aschaffenburg Hochs.,618,NAST,VAB,157,*
Aschaffenburg Süd,619,NAST,VAB,157,*
Aschau(Chiemgau),621,NAST,MVV,318,
Ascheberg(Holst),11,AST,SHT,"304,18",
Ascheberg(Westf),623,NAST,VGM,460,
Aschendorf,624,NAST,,334,
Aschersleben,10009,AST,MAR,"1019,1006",
Ashausen,627,NAST,HVV,43,*
Asperg,630,NAST,VVS,541,*
Asselheim,625,NAST,VRN,13,
Assenheim(Oberhess),632,NAST,RMV,400,
Aßlar,633,NAST,RMV,698,
Aßling(Oberbay),634,NAST,MVV,264,
Assmannshausen,635,NAST,RMV,394,
Attendorn,638,NAST,VGW,31,
Attendorn-Hohen Hag.,2949,NAST,VGW,31,
Atzenbach,641,NAST,RVL,26,
Au(b Bad Aibling),642,NAST,MVV,264,
Au(Sieg),12,AST,VRS,"257,270,271",
Aue(Sachs),10010,AST,VMS,"33,35,179",
Aue(Sachs) Erzgeb.St,10027,NAST,VMS,33,
Auehütte,11057,NAST,,45,
Auerbach(b Mosbach),649,NAST,VRN,465,
Auerbach(Oberpf),650,NAST,VGN,314,
Auerbach(V) ob Bf,10011,NAST,VVV,403,
Auerbach(V) u. Bf,10012,NAST,VVV,403,
Auerbach(Vogtl) Hp,11059,NAST,VVV,403,
Aue-Wingeshausen,647,NAST,VGW,218,
Aufhausen(b Erding),653,NAST,MVV,264,
Aufhausen(Württ),655,NAST,OAM,2,
Auggen,657,NAST,RVF,26,
Augsburg Haunstett.,658,NAST,AVV,310,*
Augsburg Hbf,13,HAST,AVV,"20,310,413",*
Augsburg-Hochzoll,661,NAST,AVV,310,*
Augsburg Messe,659,NAST,AVV,20,*
Augsburg Morellstr.,660,NAST,AVV,20,*
Augsburg-Oberhausen,662,NAST,AVV,413,*
Augustfehn,664,NAST,VBN,281,
Au im Murgtal,643,NAST,KVV,188,
Aukrug,3078,NAST,SHT,500,
Aulendorf,14,HAST,BOD,"80,485,430,399",
Aumenau,668,NAST,RMV,51,
Aumühle,669,NAST,HVV,14,
Auringen-Medenbach,671,NAST,RMV,51,*
Außenried,672,NAST,WBV,107,
Auw an der Kyll,674,NAST,VRT,296,
Aying,675,NAST,MVV,264,
Baalberge,10013,NAST,MAR,385,
Baar-Ebenhausen,678,NAST,,264,
Babenhausen(Hess),15,AST,RMV,"424,456,254",
Babenhausen Langst.,3559,NAST,RMV,254,
Babstadt,681,NAST,HNV,131,
Bacharach,683,NAST,RNN,315,
Bachern,685,NAST,MVV,264,
Bachfeld,11065,NAST,,1312,
Bachheim,686,NAST,RVF,21,
Backnang,16,AST,VVS,"554,239,543",
Bad Abbach,689,NAST,,314,
Bad Aibling,690,NAST,MVV,264,
Bad Aibling Kurpark,696,NAST,MVV,264,
Bad Alexandersbad,415,NAST,VGN,50,
Bad Arolsen,609,NAST,NVV,476,
Bad Bellingen,864,NAST,RVL,26,
Bad Belzig,10031,NAST,VBB,1111,
Bad Bentheim,879,NAST,,334,
Bad Bentheim(Gr),151,AST,,334,
Bad Bergzabern,691,NAST,VRN,198,
Bad Berka,11066,NAST,VMT,1305,
Bad Berka Zeughauspl,11067,NAST,VMT,1305,
Bad Berleburg,907,NAST,VGW,218,
Bad Berneck(Fichtel),692,NAST,VGN,371,
Bad Bevensen,935,NAST,,379,
Bad Birnbach,988,NAST,VRI,93,
Bad Blankenburg(Th),10014,NAST,VMT,1324,
Bad Bocklet,396,NAST,,343,
Bad Bodendorf,1049,NAST,VRM,32,
Bad Bodenteich,1052,NAST,,365,
Bad Brambach,11068,NAST,VVV,268,
Bad Breisig,694,NAST,VRM,222,
Bad Brückenau,1211,NAST,,343,*
Bad Brückenau Stbad,1210,NAST,,343,*
Bad Camberg,1322,NAST,RMV,51,
Baddeckenstedt,772,NAST,VRB,370,
Bad Doberan,10016,NAST,VVW,1212,
Bad Driburg(Westf),697,NAST,HST,112,
Bad Dürkheim,698,NAST,VRN,133,
Bad Dürkheim-Trift,708,NAST,VRN,133,
Bad Dürrenberg,11071,NAST,MDV,1043,
Bad Dürrheim,699,NAST,VSB,206,
Bad Elster,11072,NAST,VVV,268,
Bad Ems,701,NAST,VRM,393,
Bad Ems West,702,NAST,VRM,393,
Baden(Verden),773,NAST,VBN,9,
Baden-Baden,774,HAST,KVV,"208,681",*
Baden-Baden Haueneb,771,NAST,KVV,208,*
Baden-Baden Rebland,775,NAST,KVV,681,*
Bad Endorf,1787,NAST,MVV,318,
Bad Fallingbostel,1958,NAST,,104,
Bad Feilnbach,703,NAST,MVV,264,
Bad Freienwalde,10017,NAST,VBB,1231,
Bad Friedrichshall-K,704,NAST,HNV,243,
Bad Friedrichsh Hbf,17,AST,HNV,"131,243,277,278",
Bad Füssing,705,NAST,VLP,461,
Bad Gandersheim,352,NAST,VSN,419,
Bad Griesbach(Schw),707,NAST,TGO,681,
Bad Grönenbach,2378,NAST,,62,
Bad Harzburg,19,AST,VRB,375,
Bad Herrenalb,709,NAST,KVV,255,
Bad Herrenalb Kulle.,723,NAST,KVV,255,
Bad Hersfeld,20,AST,NVV,"436,297",
Bad Höhenstadt,710,NAST,VLP,93,
Bad Holzhausen,2978,NAST,OWL,368,
Bad Homburg,712,NAST,RMV,380,*
Bad Honnef(Rhein),713,NAST,VRS,124,
Bad Hönningen,711,NAST,VRM,124,
Bad Imnau,722,NAST,NAD,399,
Bad Karlshafen,3182,NAST,VSN,112,
Bad Kissingen,714,NAST,,343,
Bad Kleinen,10018,AST,,"1002,1212,1213,1342",
Bad Kohlgrub,716,NAST,,125,
Bad Kohlgrub Kurhaus,717,NAST,,125,
Bad König,715,NAST,RMV,254,
Bad König Zell,6643,NAST,RMV,254,
Bad Kösen,10019,NAST,MDV,398,
Bad Köstritz,11074,NAST,VMT,1079,
Bad Kötzting,3393,NAST,VLC,407,
Bad Kreckelmoos,6764,NAST,VVT,79,
Bad Kreuznach,21,HAST,RNN,"437,280",
Bad Krozingen,718,NAST,RVF,26,
Bad Krozingen Ost,791,NAST,RVF,26,
Bad Laasphe,3486,NAST,VGW,218,
Bad Laasphe-Niederl.,3493,NAST,VGW,218,
Bad Langensalza,10020,AST,VMT,"1088,67,358",
Bad Lausick,11077,NAST,MDV,481,
Bad Lauterberg Barb.,5324,NAST,VSN,366,
Bad Liebenwerda,11078,NAST,VBB,372,
Bad Liebenzell,721,NAST,VGC,524,
Bad Lobenstein,13452,NAST,VMT,1049,
Bad Malente-Gremsmü,3829,NAST,SHT,304,
Bad Mergentheim,724,NAST,VRN,346,*
Bad Münder(Deister),725,NAST,,69,
Bad Münster a Stein,726,NAST,RNN,437,
Bad Münsterei.-Arl.,601,NAST,VRS,467,
Bad Münsterei.-Ive.,3104,NAST,VRS,467,
Bad Münstereifel,727,NAST,VRS,467,
Bad Nauheim,728,NAST,RMV,331,
Bad Nenndorf,22,AST,GVH,"69,25",
Bad Neuenahr,729,NAST,VRM,32,
Bad Neustadt(Saale),730,NAST,,343,
Bad Niedernau,731,NAST,NAL,399,
Bad Oeynhausen,732,NAST,OWL,175,
Bad Oeynhausen Süd,733,NAST,OWL,75,
Bad Oldesloe,23,AST,HVV,"496,14,495",
Bad Peterstal,734,NAST,TGO,681,
Bad Pyrmont,735,NAST,,38,
Bad Rappenau,736,NAST,HNV,131,
Bad Rappenau Kurpark,777,NAST,HNV,131,
Bad Reichenhall,737,NAST,,142,
Bad Reichenhall-Kir.,738,NAST,,142,
Bad Rodach,5112,NAST,VGN,357,
Bad Rotenfels Bf,5183,NAST,KVV,188,
Bad Rotenfels Schl.,5186,NAST,KVV,188,
Bad Rotenfels Weinbr,5187,NAST,KVV,188,
Bad Saarow,11079,NAST,VBB,1065,
Bad Saarow Klinikum,10028,NAST,VBB,1065,
Bad Saarow-Pieskow,11080,NAST,VBB,1065,
Bad Sachsa,739,NAST,VSN,366,
Bad Säckingen,5255,NAST,WTV,330,
Bad Salzdetfurth,740,NAST,,211,
Bad Salzdetfurth Sol,759,NAST,,211,
Bad Salzhausen,741,NAST,RMV,325,
Bad Salzschlirf,743,NAST,RMV,165,
Bad Salzuflen,744,NAST,OWL,99,
Bad Salzuflen-Sylb.,5810,NAST,OWL,99,
Bad Salzungen,10021,NAST,,1085,
Bad Sassendorf,745,NAST,VRL,215,
Bad Saulgau,5301,NAST,NAL,485,
Bad Schandau,10022,HAST,VVO,"1331,1332,1096",
Bad Schlema,12873,NAST,VMS,179,
Bad Schönborn-Kron.,4032,NAST,VRN,428,
Bad Schönborn Süd,3533,NAST,VRN,428,
Bad Schussenried,746,NAST,DIN,399,
Bad Schwartau,749,NAST,SHT,304,
Bad Sebastiansw-Bels,750,NAST,NAL,399,
Bad Segeberg,751,NAST,SHT,495,
Bad Sobernheim,5583,NAST,RNN,437,
Bad Soden(Taunus),752,NAST,RMV,380,
Bad Soden-Salmünst.,5261,NAST,RMV,343,
Bad Sooden-Allendorf,753,NAST,NVV,293,
Bad St. Peter Süd,754,NAST,SHT,1,
Bad Staffelstein,5670,NAST,VGN,356,
Bad Steben,756,NAST,VGN,145,
Bad St Peter-Ording,755,NAST,SHT,1,
Bad Sulza,11085,NAST,VMT,398,
Bad Teinach-Neubula.,757,NAST,VGC,266,
Bad Urach,6029,NAST,NAL,282,*
Bad Urach Eklinik,6027,NAST,NAL,282,*
Bad Urach Wasserfall,6028,NAST,NAL,282,*
Bad Vilbel,760,NAST,RMV,380,
Bad Vilbel-Gronau,2382,NAST,RMV,380,
Bad Vilbel Süd,761,NAST,RMV,380,
Bad Waldsee,763,NAST,BOD,430,
Bad Wildbad Bf,6431,NAST,VGC,524,*
Bad Wildbad Kurpark,6435,NAST,VGC,524,*
Bad Wildbad Nord,6434,NAST,VGC,524,*
Bad Wildbad Uhlandpl,6439,NAST,VGC,524,*
Bad Wildungen,764,NAST,NVV,217,
Bad Wilsnack,11088,NAST,VBB,1229,
Bad Wimpfen,765,NAST,HNV,131,
Bad Wimpfen-Hohenst.,766,NAST,HNV,131,
Bad Wimpfen im Tal,706,NAST,HNV,131,
Bad Windsheim,767,NAST,VGN,57,
Bad Wörishofen,768,NAST,,413,
Bad Wurzach,769,NAST,,430,
Bad Zwischenahn,770,NAST,VBN,281,
Bagenz,11097,NAST,VBB,447,
Bahlingen a. K.,795,NAST,RVF,29,
Bahlingen Riedlen,798,NAST,RVF,29,
Bahnbrücken,799,NAST,KVV,108,
Bahnsdorf,11098,NAST,VBB,448,
Baierbrunn,781,NAST,MVV,264,
Baiersbronn Bf,782,NAST,VGF,188,
Baiersbronn Schule,789,NAST,VGF,188,
Baiersdorf,783,NAST,VGN,679,
Baitz,11100,NAST,VBB,1111,
Balbersdorf,784,NAST,VLC,407,
Baldham,785,NAST,MVV,264,
Balduinstein,786,NAST,VRM,393,
Balgheim,787,NAST,TUT,206,
Balgstädt,11103,NAST,MDV,1061,
Balingen(Württ),353,NAST,NAL,399,
Balingen Süd,788,NAST,NAL,399,
Ballstädt(Gotha),11106,NAST,VMT,67,
Baltersweiler,792,NAST,SVV,381,
Balve,793,NAST,VRL,232,
Bamberg,25,HAST,VGN,"19,356,679,475,491",*
Bammental,794,NAST,VRN,131,
Banteln,796,NAST,,116,
Bantorf,797,NAST,GVH,69,
Barbelroth,802,NAST,VRN,198,
Bardowick,801,NAST,HVV,43,*
Bärenhecke-Johnsb,11091,NAST,VVO,1113,
Bärenklau,11093,NAST,VBB,1358,
Bärenstein(Annab),11094,NAST,VMS,1361,
Bärenstein(Sachs),11095,NAST,VVO,1113,
Bargstedt,803,NAST,HVV,126,
Bargteheide,804,NAST,HVV,14,
Barleben,11111,NAST,MAR,1025,
Barleber See,11112,NAST,MAR,1179,*
Bärnau(Oberpf),776,NAST,VGN,153,
Barnstorf(Han),807,NAST,VBN,389,
Barnten,808,NAST,,69,
Barrien,810,NAST,VBN,389,
Barsinghausen,812,NAST,GVH,69,
Barth,11114,NAST,,8,
Barthmühle,11115,NAST,VVV,268,
Baruth(Mark),11116,NAST,VBB,448,
Basdorf,10025,NAST,VBB,1034,
Basel Bad Bf,26,HAST,RVL,"26,330",
Bassum,354,NAST,VBN,389,
Batzenhäusle,821,NAST,RVF,29,
Batzhausen,822,NAST,VGN,314,
Bauerbach,823,NAST,KVV,131,
Bäumenheim,778,NAST,AVV,413,
Baunach,826,NAST,VGN,356,
Baunatal-Guntershaus,140,AST,NVV,"195,405,217",
Baunatal-Rengershaus,5039,NAST,NVV,405,
Bautzen,10026,NAST,VON,1044,
Bavendorf,827,NAST,HVV,392,
Bayerbach,828,NAST,VRI,93,
Bayerisch Eisenstein,830,NAST,WBV,107,
Bayerisch Gmain,831,NAST,,142,
Bayreuth Hbf,28,AST,VGN,"145,371,421,423,425,314,237",*
Bayreuth-St Georgen,833,NAST,VGN,425,*
Bebra,29,HAST,NVV,"293,901,294,297",
Bechstedt-Trippstein,11121,NAST,VMT,1052,
Beckingen(Saar),840,NAST,SVV,186,
Beckstetten,841,NAST,,59,
Beckum-Neubeckum,4251,NAST,VGM,242,
Bedburg(Erft),30,AST,VRS,"224,220",
Bedburg-Hau,842,NAST,VRR,141,
Beelen,846,NAST,VGM,463,
Beelitz-Heilstätten,13467,NAST,VBB,1111,
Beelitz Stadt,13468,NAST,VBB,1111,
Beerfelden Hetzbach,2815,NAST,RMV,254,
Beeskow,10029,NAST,VBB,1065,
Beetz-Sommerfeld,11125,NAST,VBB,1358,
Behringersdorf,850,NAST,VGN,314,
Beienheim,851,NAST,RMV,325,
Beilngries,855,NAST,VGN,314,
Beilrode,11131,NAST,MDV,1089,
Beilstein(Württ),857,NAST,HNV,239,
Beimerstetten,858,NAST,DIN,427,
Beldorf,860,NAST,SHT,500,
Belgershain,11132,NAST,MDV,481,
Belleben,11133,NAST,MAR,454,
Bellenberg,862,NAST,DIN,409,
Bellheim Bf,863,NAST,KVV,262,*
Bellheim Mühlbuckel,861,NAST,KVV,262,*
Bempflingen,865,NAST,VVS,282,
Benediktbeuern,869,NAST,MVV,91,
Bengel,870,NAST,VRT,296,
Bennemühlen,871,NAST,GVH,104,
Bennewitz,13362,NAST,MDV,1133,
Bennigsen,872,NAST,GVH,69,
Benningen(Neckar),873,NAST,VVS,239,
Bennungen,11138,NAST,,1081,
Benshausen,11139,NAST,,45,
Bensheim,31,HAST,VRN,"74,444,445",
Bensheim-Auerbach,877,NAST,VRN,445,
Bentwisch,11140,NAST,VVW,8,
Beratzhausen,882,NAST,,314,
Berching,884,NAST,VGN,314,
Berchtesgaden Hbf,885,NAST,,142,
Berg(Pfalz),890,NAST,KVV,36,
Berga(Elster),11144,NAST,,268,
Berga-Kelbra,10032,NAST,,1081,
Bergen(Oberbay),888,NAST,,318,
Bergen auf Rügen,10033,NAST,,1091,
Bergenweiler,889,NAST,HTV,115,
Bergfelde(b Berlin),11225,NAST,VBB,1034,
Berghausen(Baden),893,NAST,KVV,100,
Berghausen(b Wittg),892,NAST,VGW,218,
Berghausen(Pfalz),894,NAST,VRN,262,
Berghausen Hummelb.,900,NAST,KVV,100,
Bergheim(Erft),355,NAST,VRS,220,
Bergisch Gladbach,899,NAST,VRS,90,*
Bergsdorf,11149,NAST,VBB,316,
Bergtheim,902,NAST,VVM,57,
Bergwitz,11150,NAST,MDV,1090,
Beringen Bad Bf,903,NAST,,330,
Beringerfeld,901,NAST,TVS,330,
Beringhausen,904,NAST,VRL,128,
Beringstedt,905,NAST,SHT,500,
Berkenbrück,11154,NAST,VBB,1364,
Berlin-Adlershof,11227,NAST,VBB,1118,*
Berlin Alexanderpl.,11155,NAST,VBB,1005,*
Berlin-Altglienicke,11229,NAST,VBB,1118,*
Berlin Alt-Reinick.,11437,NAST,VBB,1034,*
Berlin Anhalter Bf,11128,NAST,VBB,176,*
Berlin Attilastraße,11233,NAST,VBB,1118,*
Berlin Baumschulenw,11120,NAST,VBB,1118,*
Berlin Bbf Rummelsbg,11235,NAST,VBB,1013,*
Berlin Bellevue,11157,NAST,VBB,490,*
Berlin Beusselstr.,11129,NAST,VBB,489,*
Berlin-Biesdorf,11237,NAST,VBB,1034,*
Berlin-Blankenburg,11124,NAST,VBB,1034,*
Berlin Bornholm.Str,11239,NAST,VBB,1034,*
Berlin Botanischer G,11240,NAST,VBB,176,*
Berlin Brandenbg.Tor,11193,NAST,VBB,176,*
Berlin-Buch,11241,NAST,VBB,1034,*
Berlin Buckower Ch.,11243,NAST,VBB,1118,*
Berlin Bundesplatz,11130,NAST,VBB,176,*
Berlin-Charlottenbg.,10403,NAST,VBB,490,*
Berlin Eichborndamm,11244,NAST,VBB,1034,*
Berlin Feuerbachstr.,11249,NAST,VBB,176,*
Berlin Frankfurter A,11134,NAST,VBB,1034,*
Berlin-Friedenau,11259,NAST,VBB,176,*
Berlin-Friedrfel.Ost,11262,NAST,VBB,1034,*
Berlin-Friedrichshg.,11266,NAST,VBB,1034,*
Berlin Friedrichstr,10038,HAST,VBB,"176,1099,1005",*
Berlin-Frohnau,11268,NAST,VBB,1034,*
Berlin Gehrenseestr.,11273,NAST,VBB,1034,*
Berlin Gesundbrunnen,11102,AST,VBB,"489,1034,1099",*
Berlin Greifswald.St,11135,NAST,VBB,1034,*
Berlin-Grünau,11274,NAST,VBB,1118,*
Berlin Grünbg.allee,11275,NAST,VBB,1118,*
Berlin-Grunewald,11276,NAST,VBB,176,*
Berlin Hackescher M.,11158,NAST,VBB,1005,*
Berlin-Halensee,11204,NAST,VBB,176,*
Berlin Hbf,11160,AST,VBB,"176,489,490",*
Berlin Heerstraße,11279,NAST,VBB,1093,*
Berlin Heidelberg.Pl,11136,NAST,VBB,176,*
Berlin-Heiligensee,11280,NAST,VBB,1034,*
Berlin Hermannstr.,11137,NAST,VBB,1118,*
Berlin-Hermsdorf,11287,NAST,VBB,1034,*
Berlin-Hirschgarten,11289,NAST,VBB,1034,*
Berlin-Hohenschönh.,11901,NAST,VBB,1034,*
Berlin Hohenzollernd,11145,NAST,VBB,176,*
Berlin Humboldthain,11147,NAST,VBB,1099,*
Berlin Innsbrucker P,11148,NAST,VBB,176,*
Berlin Jannowitzbr.,11159,NAST,VBB,1005,*
Berlin-Johannisthal,11234,NAST,VBB,1118,*
Berlin Jul.-Leber-Br,11092,NAST,VBB,176,*
Berlin Jungfernheide,11167,NAST,VBB,489,*
Berlin-Karlshorst,10035,AST,VBB,"1013,1034",*
Berlin-Karow,11046,NAST,VBB,1034,*
Berlin-Kaulsdorf,11291,NAST,VBB,1034,*
Berlin K-B.-N.klinik,11295,NAST,VBB,1034,*
Berlin Kölln.Heide,11313,NAST,VBB,1118,*
Berlin-Köpenick,11332,NAST,VBB,1034,*
Berlin Landsberger A,11151,NAST,VBB,1034,*
Berlin-Lankwitz,11333,NAST,VBB,1118,*
Berlin-Lichtenberg,10036,NAST,VBB,1034,*
Berlin-Lichtenrade,11337,NAST,VBB,1118,*
Berlin-Lichterf.Ost,11041,NAST,VBB,1118,*
Berlin-Lichterf.Süd,11156,NAST,VBB,1118,*
Berlin-Lichterf.West,11338,NAST,VBB,176,*
Berlin-Mahlsdorf,11343,NAST,VBB,1034,*
Berlin-Marienfelde,11345,NAST,VBB,1118,*
Berlin-Marzahn,11347,NAST,VBB,1034,*
Berlin Mehrow.Allee,11348,NAST,VBB,1034,*
Berlin MesseNord/ICC,11166,NAST,VBB,489,*
Berlin MesseS(Eichk),11350,NAST,VBB,1093,*
Berlin Mexikoplatz,11353,NAST,VBB,176,*
Berlin-Neukölln,11207,NAST,VBB,1118,*
Berlin-Nikolassee,11359,NAST,VBB,176,*
Berlin Nöldnerplatz,11161,NAST,VBB,1034,*
