Sammelbezeichnung,Typ,ab km,preisbildender Tarifpunkt,IBNR,gleichgestellter Tarifpunkt,IBNR
Wörth(Rhein),TARIF,1,Wörth(Rhein),254,Wörth(Rhein) Bienw,6522
Wörth(Rhein),TARIF,1,Wörth(Rhein),254,Wörth(Rhein) Bürg,6523
Wörth(Rhein),TARIF,1,Wörth(Rhein),254,Wörth(Rhein) Mozart,6536
Wörth(Rhein),TARIF,1,Wörth(Rhein),254,Wörth(Rhein) Raths,6525
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Barmen,6596
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Ha/Düssel,6601
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal Hbf,266
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Langerfeld,6607
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Oberbarmen,6719
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Ronsdorf,6616
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Sonnborn,6618
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Steinbeck,6619
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Unterbarm.,6620
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Vohwinkel,6718
Wuppertal,CITY,101,Wuppertal Hbf,266,Wuppertal-Zool.Gart.,6623
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Barmen,6596
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Ha/Düssel,6601
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal Hbf,266
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Langerfeld,6607
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Oberbarmen,6719
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Sonnborn,6618
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Steinbeck,6619
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Unterbarm.,6620
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Vohwinkel,6718
Wuppertal,TARIF,51,Wuppertal Hbf,266,Wuppertal-Zool.Gart.,6623
Wurmlingen,TARIF,1,Wurmlingen Mitte,6625,Wurmlingen Mitte,6625
Wurmlingen,TARIF,1,Wurmlingen Mitte,6625,Wurmlingen Nord,6626
Würzburg,CITY,101,Würzburg Hbf,260,Würzburg Hbf,260
Würzburg,CITY,101,Würzburg Hbf,260,Würzburg Süd,6582
Würzburg,CITY,101,Würzburg Hbf,260,Würzburg-Zell,6586
Zella-Mehlis,TARIF,31,Zella-Mehlis,10391,Zella-Mehlis,10391
Zella-Mehlis,TARIF,31,Zella-Mehlis,10391,Zella-Mehlis West,13383
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Cainsdorf,11305
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Ebersbrunn,11446
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Lichtentanne(Sachs),12224
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Mosel,12388
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Oberrothenbach,12534
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Silberstraße,12996
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Stenn,13047
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Wilkau-Haßlau,10379
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Zwickau(Sachs)Hbf,10397
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Zwickau-Pölbitz,13433
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Zwickau-Schedewitz,13434
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Zwickau Stadthalle,13441
Zwickau(Sachs),CITY,101,Zwickau(Sachs)Hbf,10397,Zwickau Zentrum,13440
