Von,IBNR,Nach,IBNR,Tarifkilometer,Bus,Außenherum,Ausschlussstrecke,Region
Aachen Hbf,1,Aachen-Rothe Erde,406,2,,N,,299
Aachen Hbf,1,Aachen Schanz,405,2,,N,,299
Aachen Hbf,1,Aachen West,404,3,,N,,299
Aachen Hbf,1,Alsdorf-Annapark,502,23,,N,,299
Aachen Hbf,1,Alsdorf-Busch,507,21,,N,,299
Aachen Hbf,1,Alsdorf-Kellersberg,521,22,,N,,299
Aachen Hbf,1,Alsdorf-Mariadorf,527,20,,N,,299
Aachen Hbf,1,Alsdorf-Poststraße,510,19,,N,,299
Aachen Hbf,1,Brachelen,1113,35,,N,,299
Aachen Hbf,1,Eilendorf,1712,5,,N,,299
Aachen Hbf,1,Erkelenz,1839,46,,N,,299
Aachen Hbf,1,Eschweiler Hbf,1886,13,,N,,299
Aachen Hbf,1,Eschweiler-Nothberg,1889,19,,N,,299
Aachen Hbf,1,Eschweiler-St.Jöris,1917,16,,N,,299
Aachen Hbf,1,Eschweiler-Talbahnh.,1888,17,,N,,299
Aachen Hbf,1,Eschweiler-Weisweil.,1893,20,,N,,299
Aachen Hbf,1,Eschweiler-West,1887,14,,N,,299
Aachen Hbf,1,Geilenkirchen,2206,26,,N,,299
Aachen Hbf,1,Heinsberg,2721,45,,N,,299
Aachen Hbf,1,Heinsberg-Dremmen,1557,40,,N,,299
Aachen Hbf,1,Heinsberg-Horst,2719,37,,N,,299
Aachen Hbf,1,Heinsberg-Kreishaus,2725,44,,N,,299
Aachen Hbf,1,Heinsberg-Oberbruch,4519,42,,N,,299
Aachen Hbf,1,Heinsberg-Porselen,2720,39,,N,,299
Aachen Hbf,1,Heinsberg-Randerath,2718,36,,N,,299
Aachen Hbf,1,Herrath,2784,50,,N,,299
Aachen Hbf,1,Herzogenrath,2806,14,,N,,299
Aachen Hbf,1,Herzogenrath(Gr),2807,15,,N,,299
Aachen Hbf,1,Herzogenrath-A-Merk.,2804,17,,N,,299
Aachen Hbf,1,Herzogenrath-Aug-S-P,2816,18,,N,,299
Aachen Hbf,1,Hückelhoven-Baal,677,39,,N,,299
Aachen Hbf,1,Kohlscheid,3395,10,,N,,299
Aachen Hbf,1,Langerwehe,3553,21,,N,,299
Aachen Hbf,1,Lindern,3697,33,,N,,299
Aachen Hbf,1,Stolberg(Rheinl)Hbf,348,10,,N,,299
Aachen Hbf,1,Stolberg-Altstadt,5741,14,,N,,299
Aachen Hbf,1,Stolberg-MühlenerBf,5745,12,,N,,299
Aachen Hbf,1,Stolberg-Rathaus,5743,13,,N,,299
Aachen Hbf,1,Stolberg-Schneidmü,5744,11,,N,,299
Aachen Hbf,1,Übach-Palenberg,5935,21,,N,,299
Aachen Hbf,1,Wickrath,6391,55,,N,,299
Aachen Hbf,1,Würselen-Merzbrück,6579,15,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Annapark,502,21,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Busch,507,23,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Kellersberg,521,20,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Mariadorf,527,18,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Poststraße,510,17,,N,,299
Aachen-Rothe Erde,406,Brachelen,1113,51,,A,,299
Aachen-Rothe Erde,406,Eilendorf,1712,3,,N,,299
Aachen-Rothe Erde,406,Erkelenz,1839,62,,A,,299
Aachen-Rothe Erde,406,Eschweiler Hbf,1886,11,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Nothberg,1889,17,,N,,299
Aachen-Rothe Erde,406,Eschweiler-St.Jöris,1917,14,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Talbahnh.,1888,15,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Weisweil.,1893,18,,N,,299
Aachen-Rothe Erde,406,Eschweiler-West,1887,12,,N,,299
Aachen-Rothe Erde,406,Geilenkirchen,2206,42,,A,,299
Aachen-Rothe Erde,406,Heinsberg,2721,61,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Dremmen,1557,56,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Horst,2719,53,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Kreishaus,2725,60,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Oberbruch,4519,58,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Porselen,2720,55,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Randerath,2718,52,,A,,299
Aachen-Rothe Erde,406,Herrath,2784,66,,A,,299
Aachen-Rothe Erde,406,Herzogenrath,2806,30,,A,,299
Aachen-Rothe Erde,406,Herzogenrath(Gr),2807,31,,A,,299
Aachen-Rothe Erde,406,Herzogenrath-A-Merk.,2804,27,,A,,299
Aachen-Rothe Erde,406,Herzogenrath-Aug-S-P,2816,26,,A,,299
Aachen-Rothe Erde,406,Hückelhoven-Baal,677,55,,A,,299
Aachen-Rothe Erde,406,Kohlscheid,3395,34,,A,,299
Aachen-Rothe Erde,406,Langerwehe,3553,19,,N,,299
Aachen-Rothe Erde,406,Lindern,3697,49,,A,,299
Aachen-Rothe Erde,406,Stolberg-Altstadt,5741,12,,N,,299
Aachen-Rothe Erde,406,Stolberg-MühlenerBf,5745,10,,N,,299
Aachen-Rothe Erde,406,Stolberg-Rathaus,5743,11,,N,,299
Aachen-Rothe Erde,406,Stolberg-Schneidmü,5744,9,,N,,299
Aachen-Rothe Erde,406,Übach-Palenberg,5935,37,,A,,299
Aachen-Rothe Erde,406,Wickrath,6391,71,,A,,299
Aachen-Rothe Erde,406,Würselen-Merzbrück,6579,13,,N,,299
Aachen Schanz,405,Aachen-Rothe Erde,406,42,,A,,299
Aachen Schanz,405,Alsdorf-Annapark,502,21,,N,,299
Aachen Schanz,405,Alsdorf-Busch,507,19,,N,,299
Aachen Schanz,405,Alsdorf-Kellersberg,521,22,,N,,299
Aachen Schanz,405,Alsdorf-Mariadorf,527,24,,A,,299
Aachen Schanz,405,Alsdorf-Poststraße,510,25,,A,,299
Aachen Schanz,405,Brachelen,1113,33,,N,,299
Aachen Schanz,405,Eilendorf,1712,39,,A,,299
Aachen Schanz,405,Erkelenz,1839,44,,N,,299
Aachen Schanz,405,Eschweiler Hbf,1886,37,,A,,299
Aachen Schanz,405,Eschweiler-Nothberg,1889,43,,A,,299
Aachen Schanz,405,Eschweiler-St.Jöris,1917,28,,A,,299
Aachen Schanz,405,Eschweiler-Talbahnh.,1888,41,,A,,299
Aachen Schanz,405,Eschweiler-Weisweil.,1893,44,,A,,299
Aachen Schanz,405,Eschweiler-West,1887,38,,A,,299
Aachen Schanz,405,Geilenkirchen,2206,24,,N,,299
Aachen Schanz,405,Heinsberg,2721,43,,N,,299
Aachen Schanz,405,Heinsberg-Dremmen,1557,38,,N,,299
Aachen Schanz,405,Heinsberg-Horst,2719,35,,N,,299
Aachen Schanz,405,Heinsberg-Kreishaus,2725,42,,N,,299
Aachen Schanz,405,Heinsberg-Oberbruch,4519,40,,N,,299
Aachen Schanz,405,Heinsberg-Porselen,2720,37,,N,,299
Aachen Schanz,405,Heinsberg-Randerath,2718,34,,N,,299
Aachen Schanz,405,Herrath,2784,48,,N,,299
Aachen Schanz,405,Herzogenrath,2806,12,,N,,299
Aachen Schanz,405,Herzogenrath(Gr),2807,13,,N,,299
Aachen Schanz,405,Herzogenrath-A-Merk.,2804,15,,N,,299
Aachen Schanz,405,Herzogenrath-Aug-S-P,2816,16,,N,,299
Aachen Schanz,405,Hückelhoven-Baal,677,37,,N,,299
Aachen Schanz,405,Kohlscheid,3395,8,,N,,299
Aachen Schanz,405,Langerwehe,3553,45,,A,,299
Aachen Schanz,405,Lindern,3697,31,,N,,299
Aachen Schanz,405,Stolberg-Altstadt,5741,38,,A,,299
Aachen Schanz,405,Stolberg-MühlenerBf,5745,36,,A,,299
Aachen Schanz,405,Stolberg-Rathaus,5743,37,,A,,299
Aachen Schanz,405,Stolberg-Schneidmü,5744,35,,A,,299
Aachen Schanz,405,Übach-Palenberg,5935,19,,N,,299
Aachen Schanz,405,Wickrath,6391,53,,N,,299
Aachen Schanz,405,Würselen-Merzbrück,6579,29,,A,,299
Aachen West,404,Aachen-Rothe Erde,406,41,,A,,299
Aachen West,404,Aachen Schanz,405,1,,N,,299
Aachen West,404,Alsdorf-Annapark,502,20,,N,,299
Aachen West,404,Alsdorf-Busch,507,18,,N,,299
Aachen West,404,Alsdorf-Kellersberg,521,21,,N,,299
Aachen West,404,Alsdorf-Mariadorf,527,23,,N,,299
Aachen West,404,Alsdorf-Poststraße,510,24,,A,,299
Aachen West,404,Brachelen,1113,32,,N,,299
Aachen West,404,Eilendorf,1712,38,,A,,299
Aachen West,404,Erkelenz,1839,43,,N,,299
Aachen West,404,Eschweiler Hbf,1886,36,,A,,299
Aachen West,404,Eschweiler-Nothberg,1889,42,,A,,299
Aachen West,404,Eschweiler-St.Jöris,1917,27,,A,,299
Aachen West,404,Eschweiler-Talbahnh.,1888,40,,A,,299
Aachen West,404,Eschweiler-Weisweil.,1893,43,,A,,299
Aachen West,404,Eschweiler-West,1887,37,,A,,299
Aachen West,404,Geilenkirchen,2206,23,,N,,299
Aachen West,404,Heinsberg,2721,42,,N,,299
Aachen West,404,Heinsberg-Dremmen,1557,37,,N,,299
Aachen West,404,Heinsberg-Horst,2719,34,,N,,299
Aachen West,404,Heinsberg-Kreishaus,2725,41,,N,,299
Aachen West,404,Heinsberg-Oberbruch,4519,39,,N,,299
Aachen West,404,Heinsberg-Porselen,2720,36,,N,,299
Aachen West,404,Heinsberg-Randerath,2718,33,,N,,299
Aachen West,404,Herrath,2784,47,,N,,299
Aachen West,404,Herzogenrath,2806,11,,N,,299
Aachen West,404,Herzogenrath(Gr),2807,12,,N,,299
Aachen West,404,Herzogenrath-A-Merk.,2804,14,,N,,299
Aachen West,404,Herzogenrath-Aug-S-P,2816,15,,N,,299
Aachen West,404,Hückelhoven-Baal,677,36,,N,,299
Aachen West,404,Kohlscheid,3395,7,,N,,299
Aachen West,404,Langerwehe,3553,44,,A,,299
Aachen West,404,Lindern,3697,30,,N,,299
Aachen West,404,Stolberg-Altstadt,5741,37,,A,,299
Aachen West,404,Stolberg-MühlenerBf,5745,35,,A,,299
Aachen West,404,Stolberg-Rathaus,5743,36,,A,,299
Aachen West,404,Stolberg-Schneidmü,5744,34,,A,,299
Aachen West,404,Übach-Palenberg,5935,18,,N,,299
Aachen West,404,Wickrath,6391,52,,N,,299
Aachen West,404,Würselen-Merzbrück,6579,28,,A,,299
Aalen Hbf,2,Aufhausen(Württ),655,24,,N,,2
Aalen Hbf,2,Bergenweiler,889,40,,N,,115
Aalen Hbf,2,Blindheim,1028,72,,N,x,115
Aalen Hbf,2,Böbingen(Rems),5979,15,,N,,402
Aalen Hbf,2,Bopfingen,1090,27,,N,,2
Aalen Hbf,2,Bühlingen,1253,52,,N,,2
Aalen Hbf,2,Dillingen(Donau),1463,60,,N,x,115
Aalen Hbf,2,Dinkelsbühl,1467,70,,N,,2
Aalen Hbf,2,Ebermergen,1628,61,,N,,2
Aalen Hbf,2,Ellwangen,1751,17,,N,,2
Aalen Hbf,2,Essingen(b Aalen),1918,6,x,N,,402
Aalen Hbf,2,Feuchtwangen,1979,83,,N,,2
Aalen Hbf,2,Fremdingen,2082,55,,N,,2
Aalen Hbf,2,Giengen(Brenz),2272,33,,N,,115
Aalen Hbf,2,Goldshöfe,380,7,,N,,2
Aalen Hbf,2,Gundelfingen(Bay),2466,50,,N,x,115
Aalen Hbf,2,Harburg(Schwab),2593,58,,N,,2
Aalen Hbf,2,Heidenheim,2689,22,,N,,115
Aalen Hbf,2,Heidenheim-Mergelst.,2690,25,,N,,115
Aalen Hbf,2,Heidenheim-Schnaith.,2691,19,,N,,115
Aalen Hbf,2,Heidenheim Voithwerk,2693,23,,N,,115
Aalen Hbf,2,Herbrechtingen,2766,28,,N,,115
Aalen Hbf,2,Hermaringen,2776,37,,N,,115
Aalen Hbf,2,Höchstädt(Donau),2888,67,,N,x,115
Aalen Hbf,2,Hofen(b Aalen),2930,4,,N,,2
Aalen Hbf,2,Hoppingen,2994,53,,N,,2
Aalen Hbf,2,Itzelberg,3103,16,,N,,115
Aalen Hbf,2,Jagstzell,3111,26,,N,,2
Aalen Hbf,2,Königsbronn,3378,14,,N,,115
Aalen Hbf,2,Langenau(Württ),3525,56,,N,,115
Aalen Hbf,2,Lauchheim,3569,16,,N,,2
Aalen Hbf,2,Lauingen,3589,55,,N,x,115
Aalen Hbf,2,Marktoffingen,3886,49,,N,,2
Aalen Hbf,2,Mögglingen(Gmünd),4053,12,,N,,402
Aalen Hbf,2,Möttingen,4071,49,,N,,2
Aalen Hbf,2,Niederstotzingen,4413,47,,N,,115
Aalen Hbf,2,Nördlingen,280,40,,N,,2
Aalen Hbf,2,Oberelchingen,4525,63,,N,,115
Aalen Hbf,2,Oberkochen,4549,8,,N,,115
Aalen Hbf,2,Pflaumloch,4796,35,,N,,2
Aalen Hbf,2,Rammingen(Württ),4930,51,,N,,115
Aalen Hbf,2,Rühlingstetten,5216,59,,N,,2
Aalen Hbf,2,Schopfloch(Mittelfr),5422,77,,N,,2
Aalen Hbf,2,Schrezheim,5431,15,,N,,2
Aalen Hbf,2,Schwabsberg,5445,11,,N,,2
Aalen Hbf,2,Schwenningen(Bay),5489,74,,N,x,115
Aalen Hbf,2,Sontheim-Brenz,5608,42,,N,,115
Aalen Hbf,2,Steinheim(Donau),5705,64,,N,x,115
Aalen Hbf,2,Stimpfach,5732,29,,N,,2
Aalen Hbf,2,Tapfheim,5824,79,,A,x,115
Aalen Hbf,2,Thalfingen(b Ulm),5845,66,,N,,115
Aalen Hbf,2,Trochtelfingen(Bopf),5908,32,,N,,2
Aalen Hbf,2,Ulm Ost,5952,71,,N,,115
Aalen Hbf,2,Unterelchingen,5983,61,,N,,115
Aalen Hbf,2,Unterkochen,5997,4,,N,,115
Aalen Hbf,2,Wallerstein,6182,44,,N,,2
Aalen Hbf,2,Wasseralfingen,6217,2,,N,,2
Aalen Hbf,2,Westhausen,6376,12,,N,,2
Aalen Hbf,2,Wörnitzstein,6533,64,,N,,2
Abenden,411,Blens,1010,2,,N,,65
Abenden,411,Düren-Kuhbrücke,3468,21,,N,,65
Abenden,411,Düren-Lendersdorf,3642,20,,N,,65
Abenden,411,Düren Renkerstraße,4969,19,,N,,65
Abenden,411,Hausen (b Düren),2601,4,,N,,65
Abenden,411,Heimbach (Eifel),2602,6,,N,,65
Abenden,411,Kreuzau Bahnhof,3465,17,,N,,65
Abenden,411,Kreuzau-Eifelstraße,3466,16,,N,,65
Abenden,411,Nideggen-Brück,4300,3,,N,,65
Abenden,411,Niederau-Tuchmühle,4301,18,,N,,65
Abenden,411,Obermaubach,4450,6,,N,,65
Abenden,411,Üdingen,5951,12,,N,,65
Abenden,411,Untermaubach-Schlag,5953,9,,N,,65
Abenden,411,Zerkall,6637,5,,N,,65
Abensberg,410,Adelschlag,419,176,,A,,314
Abensberg,410,Allersberg(Rothsee),498,271,,A,,314
Abensberg,410,Altdorf(b Nürnberg),509,133,,N,,314
Abensberg,410,Altdorf West,504,132,,N,,314
Abensberg,410,Auerbach(Oberpf),650,206,,A,,314
Abensberg,410,Bad Abbach,689,21,,N,,314
Abensberg,410,Batzhausen,822,81,,N,,314
Abensberg,410,Behringersdorf,850,189,,A,,314
Abensberg,410,Beilngries,855,124,,A,,314
Abensberg,410,Beratzhausen,882,60,,N,,314
Abensberg,410,Berching,884,116,,A,,314
Abensberg,410,Burgthann,1297,112,,N,,314
Abensberg,410,Creußen(Oberfr),1348,224,,A,,314
Abensberg,410,Deining(Oberpf),1400,87,,N,,314
Abensberg,410,Deuerling,1430,48,,N,,314
Abensberg,410,Dollnstein,1495,181,,A,,314
Abensberg,410,Eichstätt Bahnhof,1708,171,,A,,314
Abensberg,410,Eichstätt Stadt,1709,166,,A,,314
Abensberg,410,Eitensheim,1734,185,,A,,314
Abensberg,410,Ernsgaden,1853,22,,N,,314
Abensberg,410,Eschenbach(Oberpf),1878,230,,A,,314
Abensberg,410,Etterzhausen,1925,43,,N,,314
Abensberg,410,Etzelwang,1929,177,,A,,314
Abensberg,410,Feucht,1978,121,,N,,314
Abensberg,410,Feucht-Moosbach,2520,126,,N,,314
Abensberg,410,Feucht Ost,1988,120,,N,,314
Abensberg,410,Fischbach(Nürnberg),1989,125,,N,,314
Abensberg,410,Freystadt(Oberpf),2093,117,,N,,314
Abensberg,410,Gaimersheim,2171,189,,A,,314
Abensberg,410,Grafenwöhr,6697,237,,A,,314
Abensberg,410,Gundelshausen,2468,25,,N,,314
Abensberg,410,Happurg,2578,162,,A,,314
Abensberg,410,Hartmannshof,2612,171,,A,,314
Abensberg,410,Hedersdorf,2678,184,,A,,314
Abensberg,410,Henfenfeld,2751,157,,A,,314
Abensberg,410,Hersbruck(l Pegnitz),2793,160,,A,,314
Abensberg,410,Hersbruck(r Pegnitz),2794,171,,A,,314
Abensberg,410,Hohenstadt(Mittelfr),2956,177,,A,,314
Abensberg,410,Ingolstadt Audi,3074,192,,A,,314
Abensberg,410,Ingolstadt Nord,3076,195,,A,,314
Abensberg,410,Kelheim,3223,19,,N,,314
Abensberg,410,Kemnath-Neustadt,3229,256,,A,,314
Abensberg,410,Kinding(Altmühltal),3256,231,,A,,314
Abensberg,410,Kirchenthumbach,3273,221,,A,,314
Abensberg,410,Laaber,3485,53,,N,,314
Abensberg,410,Lauf(links Pegnitz),3580,149,,N,,314
Abensberg,410,Lauf(rechts Pegnitz),3581,182,,A,,314
Abensberg,410,Lauf West,3587,148,,N,,314
Abensberg,410,Ludersheim,3762,131,,N,,314
Abensberg,410,Ludwigshöhe,3768,184,,A,,314
Abensberg,410,Mausheim,3921,64,,N,,314
Abensberg,410,Mimberg,4028,115,,N,,314
Abensberg,410,Mühlhausen(Sulz),4108,109,,N,,314
Abensberg,410,Münchsmünster,4165,13,,N,,314
Abensberg,410,Neuenreuth(b Creuß),4275,228,,A,,314
Abensberg,410,Neuhaus(Pegnitz),4284,194,,A,,314
Abensberg,410,Neumarkt(Oberpf),4305,97,,N,,314
Abensberg,410,Neunkirchen a Sand,4310,178,,A,,314
Abensberg,410,Neustadt(Donau),4326,6,,N,,314
Abensberg,410,Nürnberg-Dürrenhof,4442,133,,N,,314
Abensberg,410,Nürnberg-Dutzendt.,4476,130,,N,,314
Abensberg,410,Nürnberg-Erlensteg.,4478,193,,A,,314
Abensberg,410,Nürnberg Frankensta,4493,129,,N,,314
Abensberg,410,Nürnberg-Gleißh.,5304,132,,N,,314
Abensberg,410,Nürnberg-Laufamholz,4480,139,,N,,314
Abensberg,410,Nürnberg-Mögeldorf,4481,136,,N,,314
Abensberg,410,Nürnberg Ost,4471,195,,A,,314
Abensberg,410,Nürnberg Ostring,4470,135,,N,,314
Abensberg,410,Nürnberg-Rehhof,4491,138,,N,,314
Abensberg,410,Oberferrieden,4529,110,,N,,314
Abensberg,410,Ochenbruck,4609,117,,N,,314
Abensberg,410,Ottensoos,4725,153,,N,,314
Abensberg,410,Pappenheim,4753,194,,A,,314
Abensberg,410,Parsberg,4755,70,,N,,314
Abensberg,410,Pegnitz,4759,210,,A,,314
Abensberg,410,Plankstetten,4831,120,,A,,314
Abensberg,410,Poikam,4853,23,,N,,314
Abensberg,410,Pollanten,4856,113,,N,,314
Abensberg,410,Pölling,4847,101,,N,,314
Abensberg,410,Pommelsbrunn,4858,166,,A,,314
Abensberg,410,Postbauer-Heng,4875,107,,N,,314
Abensberg,410,Pressath,4880,244,,A,,314
Abensberg,410,Rebdorf-Hofmühle,4966,168,,A,,314
Abensberg,410,Regensburg-Prüfen.,4983,37,,N,,314
Abensberg,410,Reichenschwand,5005,174,,A,,314
Abensberg,410,Rollhofen,5154,181,,A,,314
Abensberg,410,Röthenbach(Pegnitz),5140,143,,N,,314
Abensberg,410,Röthenbach-Seespitz,5142,146,,N,,314
Abensberg,410,Röthenbach-Steinb,5141,145,,N,,314
Abensberg,410,Rückersdorf(Mfr),5209,186,,A,,314
Abensberg,410,Rupprechtstegen,5231,188,,A,,314
Abensberg,410,Saal(Donau),5238,15,,N,,314
Abensberg,410,Schnaittach Markt,5383,183,,A,,314
Abensberg,410,Schwaig,5451,141,,N,,314
Abensberg,410,Schwarzenbach(b Pre),5465,250,,A,,314
Abensberg,410,Sengenthal,5533,102,,N,,314
Abensberg,410,Seubersdorf,5543,77,,N,,314
Abensberg,410,Simmelsdorf-Hüttenb,5572,187,,A,,314
Abensberg,410,Sinzing,5581,34,,N,,314
Abensberg,410,Solnhofen,5593,188,,A,,314
Abensberg,410,Speikern,5625,179,,A,,314
Abensberg,410,Tauberfeld,5828,181,,A,,314
Abensberg,410,Trabitz,5890,250,,A,,314
Abensberg,410,Undorf,5966,46,,N,,314
Abensberg,410,Velden(b Hersbruck),6067,191,,A,,314
Abensberg,410,Vohburg-Rockolding,6101,19,,N,,314
Abensberg,410,Vorra(Pegnitz),6120,183,,A,,314
Abensberg,410,Wasserzell(b Eichst),6224,170,,A,,314
Abensberg,410,Winkelhaid,6476,129,,N,,314
Achern,412,Appenweier,596,12,,N,,681
Achern,412,Baden-Baden,774,21,,N,,681
Achern,412,Baden-Baden Rebland,775,14,,N,,681
Achern,412,Bad Griesbach(Schw),707,42,,N,,681
Achern,412,Bad Peterstal,734,39,,N,,681
Achern,412,Bühl(Baden),1252,9,,N,,681
Achern,412,Furschenbach,2158,11,,N,,681
Achern,412,Hubacker,3010,26,,N,,681
Achern,412,Ibach,3035,33,,N,,681
Achern,412,Kappelrodeck,3192,8,,N,,681
Achern,412,Kehl,3218,25,,N,,681
Achern,412,Kork,3408,20,,N,,681
Achern,412,Lautenbach(Baden),3594,24,,N,,681
Achern,412,Legelshurst,3609,17,,N,,681
Achern,412,Löcherberg,3721,36,,N,,681
Achern,412,Oberachern,4494,4,,N,,681
Achern,412,Oberachern Bindfaden,4495,6,,N,,681
Achern,412,Oberkirch,4545,21,,N,,681
Achern,412,Oberkirch-Köhlersdl,4546,22,,N,,681
Achern,412,Oppenau,4679,31,,N,,681
Achern,412,Ottenhöfen,4721,14,,N,,681
Achern,412,Ottenhöfen West,4729,13,,N,,681
Achern,412,Ramsbach Birkhof,4931,29,,N,,681
Achern,412,Ramsbach Höfle,4932,28,,N,,681
Achern,412,Renchen,5037,6,,N,,681
Achern,412,Sinzheim,5587,17,,N,,681
Achern,412,Sinzheim Nord,5588,18,,N,,681
Achern,412,Zusenhofen,6678,16,,N,,681
Achern Stadt,408,Achern,412,2,,N,,681
Achern Stadt,408,Appenweier,596,14,,N,,681
Achern Stadt,408,Baden-Baden,774,23,,N,,681
Achern Stadt,408,Baden-Baden Rebland,775,16,,N,,681
Achern Stadt,408,Bad Griesbach(Schw),707,44,,N,,681
Achern Stadt,408,Bad Peterstal,734,41,,N,,681
Achern Stadt,408,Bühl(Baden),1252,11,,N,,681
Achern Stadt,408,Furschenbach,2158,9,,N,,681
Achern Stadt,408,Hubacker,3010,28,,N,,681
Achern Stadt,408,Ibach,3035,35,,N,,681
Achern Stadt,408,Kappelrodeck,3192,6,,N,,681
Achern Stadt,408,Kehl,3218,27,,N,,681
Achern Stadt,408,Kork,3408,22,,N,,681
Achern Stadt,408,Lautenbach(Baden),3594,26,,N,,681
Achern Stadt,408,Legelshurst,3609,19,,N,,681
Achern Stadt,408,Löcherberg,3721,38,,N,,681
Achern Stadt,408,Oberachern,4494,2,,N,,681
Achern Stadt,408,Oberachern Bindfaden,4495,4,,N,,681
Achern Stadt,408,Oberkirch,4545,23,,N,,681
Achern Stadt,408,Oberkirch-Köhlersdl,4546,24,,N,,681
Achern Stadt,408,Oppenau,4679,33,,N,,681
Achern Stadt,408,Ottenhöfen,4721,12,,N,,681
Achern Stadt,408,Ottenhöfen West,4729,11,,N,,681
Achern Stadt,408,Ramsbach Birkhof,4931,31,,N,,681
Achern Stadt,408,Ramsbach Höfle,4932,30,,N,,681
Achern Stadt,408,Renchen,5037,8,,N,,681
Achern Stadt,408,Sinzheim,5587,19,,N,,681
Achern Stadt,408,Sinzheim Nord,5588,20,,N,,681
Achern Stadt,408,Zusenhofen,6678,18,,N,,681
Achim,413,Baden(Verden),773,3,,N,,9
Achim,413,Bremen-Mahndorf,1160,6,,N,,9
Achim,413,Bremen-Sebaldsbrück,1164,11,,N,,9
Achim,413,Dörverden,1489,28,,N,,9
Achim,413,Etelsen,1924,6,,N,,9
Achim,413,Eystrup,1949,35,,N,,9
Achim,413,Langwedel,586,12,,N,,9
Achim,413,Verden(Aller),6076,19,,N,,9
Achim,413,Visselhövede,6090,40,,N,,9
Achkarren,425,Bahlingen a. K.,795,28,,N,,29
Achkarren,425,Bahlingen Riedlen,798,29,,N,,29
Achkarren,425,Batzenhäusle,821,48,,A,,29
Achkarren,425,Bleibach,1017,55,,A,,29
Achkarren,425,Bötzingen,1076,20,,N,,29
Achkarren,425,Bötzingen Mühle,1077,21,,N,,29
Achkarren,425,Breisach,1143,7,,N,,29
Achkarren,425,Buchholz(Baden),1234,46,,A,,29
Achkarren,425,Burkheim-Bischoffing,1299,6,,N,,29
Achkarren,425,Denzlingen,1415,42,,A,,29
Achkarren,425,Eichstetten a. K.,1722,25,,N,,29
Achkarren,425,Elzach,1766,62,,A,,29
Achkarren,425,Emmendingen,1771,35,,N,,29
Achkarren,425,Endingen a. K.,1786,19,,N,,29
Achkarren,425,Freiburg-Herdern,2067,49,,A,,29
Achkarren,425,Freiburg Klinikum,2077,29,,N,,29
Achkarren,425,Freiburg-Landwasser,2066,27,,N,,29
Achkarren,425,Freiburg Messe/Uni,2064,28,,N,,29
Achkarren,425,Freiburg-Zähringen,2071,47,,A,,29
Achkarren,425,Friesenheim(Baden),2123,55,,N,,29
Achkarren,425,Gottenheim,2334,18,,N,,29
Achkarren,425,Gundelfingen(Breisg),2465,45,,A,,29
Achkarren,425,Gutach(Breisgau),2478,53,,A,,29
Achkarren,425,Herbolzheim(Breisg),2763,36,,N,,29
Achkarren,425,Hugstetten,3025,23,,N,,29
Achkarren,425,Ihringen,3052,12,,N,,29
Achkarren,425,Jechtingen,3117,8,,N,,29
Achkarren,425,Kenzingen,3233,33,,N,,29
Achkarren,425,Kollmarsreute,3398,39,,N,,29
Achkarren,425,Kollnau,3399,51,,A,,29
Achkarren,425,Köndringen,3374,31,,N,,29
Achkarren,425,Königschaffhausen,3389,15,,N,,29
Achkarren,425,Lahr(Schwarzw),3494,50,,N,,29
Achkarren,425,Niederwinden,4423,57,,A,,29
Achkarren,425,Nimburg(Baden),4421,28,,N,,29
Achkarren,425,Oberrotweil,4556,3,,N,,29
Achkarren,425,Oberwinden,4603,59,,A,,29
Achkarren,425,Orschweier,4683,42,,N,,29
Achkarren,425,Riegel a K Ort,5081,24,,N,,29
Achkarren,425,Riegel-Malterdingen,5090,28,,N,,29
Achkarren,425,Ringsheim/Europa-P.,5101,39,,N,,29
Achkarren,425,Sasbach a. K.,5300,14,,N,,29
Achkarren,425,Teningen-Mundingen,5836,33,,N,,29
Achkarren,425,Waldkirch,6159,50,,A,,29
Achkarren,425,Wasenweiler,6215,15,,N,,29
Achmer,414,Bramsche,1122,4,,N,,505
Achmer,414,Halen,2537,6,,N,,505
Achmer,414,Hörstel,2915,51,,N,,505
Achmer,414,Ibbenbüren,3036,42,,N,,505
Achmer,414,Ibbenbüren-Esch,1867,47,,N,,505
Achmer,414,Ibbenbüren-Laggenb.,3491,37,,N,,505
Achmer,414,Osnabrück Altstadt,4689,16,,N,,505
Achterwehr,416,Bredenbek,1136,6,,N,,288
Achterwehr,416,Eckernförde,1654,39,,N,,288
Achterwehr,416,Felde,1977,1,,N,,288
Achterwehr,416,Gettorf,2266,27,,N,,288
