Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Aachen Hbf,1,Darmstadt Hbf,68,292,AC*K*MZ*DA
Aachen Hbf,1,Delitzsch,10076,631,AC*(H/EF)*HAL
Aachen Hbf,1,Delmenhorst,70,405,AC*(DU/HA)*HB
Aachen Hbf,1,Derneburg(Han),71,428,AC*(OS/K)*HI
Aachen Hbf,1,Dessau Hbf,10077,578,AC*H*MD*RSL
Aachen Hbf,1,Dillenburg,74,204,AC*K*SI
Aachen Hbf,1,Dillingen(Saar),75,339,AC*K*KO*TR
Aachen Hbf,1,Döbeln Hbf,10080,708,AC*(H/EF)*DL
Aachen Hbf,1,Doberlug-Kirchhain,10079,736,AC*(H/EF)*L
Aachen Hbf,1,Donaueschingen,77,563,AC*K*KA*OG
Aachen Hbf,1,Donauwörth,78,611,AC*(N/UL)*DON
Aachen Hbf,1,Dortmund Hbf,80,163,AC*DO
Aachen Hbf,1,Dresden Hbf,10085,762,AC*(H/EF)*DD
Aachen Hbf,1,Duisburg Hbf,86,108,AC*(MG/K)*DU
Aachen Hbf,1,Dülmen,83,180,AC*(K/MG*KR*DU)*GE*(WAN/HER)*RE
Aachen Hbf,1,Düren,84,31,AC*DN
Aachen Hbf,1,Düsseldorf Hbf,85,91,AC*(MG/K)*D
Aachen Hbf,1,Eberswalde Hbf,10093,712,AC*DU*H*MD*B
Aachen Hbf,1,Eichenberg,90,433,AC*(DU/HA)*KS*EICH
Aachen Hbf,1,Eilenburg,10095,667,AC*(H/EF)*L
Aachen Hbf,1,Eilsleben(Magdeb),10096,488,AC*(OS/K)*BS
Aachen Hbf,1,Eisenach Hbf,10097,482,AC*DO*KS*ESA
Aachen Hbf,1,Elmshorn,92,552,AC*(HB/H)*HH
Aachen Hbf,1,Elsterwerda,10099,732,AC*(H/EF)*ELW
Aachen Hbf,1,Elze(Han),93,407,AC*(OB/K)*ELZE
Aachen Hbf,1,Emden Hbf,1768,390,AC*(OB/DO)*LER
Aachen Hbf,1,Emmerich,1773,184,AC*(MG/K)*DU*EMM
Aachen Hbf,1,Engers,94,184,AC*K*KO
Aachen Hbf,1,Erfurt Hbf,10101,539,AC*DO*KS*EF
Aachen Hbf,1,Erlangen,1844,561,AC*K*F*FUE*ER
