Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Berlin-Karlshorst,10035,Frankfurt(Oder),10113,74,BKH*FF
Berlin-Karlshorst,10035,Freiberg(Sachs),10115,222,BSFL*ELW*DD
Berlin-Karlshorst,10035,Frose,10119,221,B*BRB*MD*GUS
Berlin-Karlshorst,10035,Fürstenberg(Havel),10399,109,BKH*B*FUB
Berlin-Karlshorst,10035,Fürstenwalde(Spree),10120,40,BKH*FW
Berlin-Karlshorst,10035,Geestgottberg,10121,151,B*(SDL/NEUD)*WBE
Berlin-Karlshorst,10035,Genthin,10123,107,B*BWA*P*BRB
Berlin-Karlshorst,10035,Gera Hbf,10125,249,BSFL*(C/HAL)*G
Berlin-Karlshorst,10035,Gerstungen,11629,395,B*(L/MD)*ESA
Berlin-Karlshorst,10035,Glauchau(Sachs),10129,248,BSFL*(DD/L)*C
Berlin-Karlshorst,10035,Görlitz,10131,227,B*CB*GR
Berlin-Karlshorst,10035,Gotha,10136,319,BSFL*(RIE/B)*L*EF*GTH
Berlin-Karlshorst,10035,Grambow(Gr),10138,183,B*EW*PZ*PW
Berlin-Karlshorst,10035,Güsen(b Genthin),10151,122,B*BWA*P*BRB
Berlin-Karlshorst,10035,Güsten,10152,202,B*BRB*MD*GUS
Berlin-Karlshorst,10035,Güstrow,10153,217,B*NZ*GUE
Berlin-Karlshorst,10035,Gutenfürst,11790,353,B*(DD/HAL)*WDA
Berlin-Karlshorst,10035,Güterglück,10154,149,B*(WB/P)*RSL
Berlin-Karlshorst,10035,Halberstadt Hbf,10157,216,B*(RSL/BRB)*MD
Berlin-Karlshorst,10035,Halle(Saale)Hbf,10159,172,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Halle-Ammendorf,10162,178,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Halle-Neustadt,10160,184,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Hennigsdorf(b Bln),13483,35,BKH*B*BGS*HENN
Berlin-Karlshorst,10035,Herlasgrün,10166,297,BSFL*(DD/L)*C
Berlin-Karlshorst,10035,Herrnburg,11864,294,B*(SDL/NZ)*SN
Berlin-Karlshorst,10035,Hockeroda,10170,327,BSFL*(DOKI*L/HAL*EF)*SLF
Berlin-Karlshorst,10035,Holthusen,10173,216,B*(SDL/NEUD)*WBE
Berlin-Karlshorst,10035,Hosena,10171,160,B*KW*LN*CA
Berlin-Karlshorst,10035,Jena Saalbf,11058,266,BSFL*(L/HAL)*JS
Berlin-Karlshorst,10035,Jüterbog,10182,73,BKH*BSFL*JB
Berlin-Karlshorst,10035,Königs Wusterhausen,10193,33,BKH*BSFL*KW
Berlin-Karlshorst,10035,Könnern,10194,202,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Köthen,10195,154,B*(WB/P)*RSL
Berlin-Karlshorst,10035,Leinefelde,10203,312,BSFL*(WB/B)*L*HAL*NDH
Berlin-Karlshorst,10035,Leipzig Hbf,10205,175,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Leipzig-Leutzsch,10207,182,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Löbau(Sachs),10212,287,B*BSFL*ELW*DD
Berlin-Karlshorst,10035,Löwenberg(Mark),10214,75,BKH*B*(FINK/BHS)*LOW
Berlin-Karlshorst,10035,Lübben(Spreewald),10217,94,BKH*B*LN
Berlin-Karlshorst,10035,Ludwigsfelde,10215,35,BKH*BSFL*LUF
Berlin-Karlshorst,10035,Ludwigslust,10216,189,B*(SDL/NEUD)*WBE
Berlin-Karlshorst,10035,Luth. Wittenberg Hbf,10222,105,BSFL*LUF*JB*WB
Berlin-Karlshorst,10035,Magdeburg Hbf,10224,158,B*(RSL/BRB)*MD
Berlin-Karlshorst,10035,Magdeburg-Rothensee,10086,165,B*(RSL/BRB)*MD
Berlin-Karlshorst,10035,Markkleeberg-Großst,10228,189,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Mehltheuer,10229,296,BSFL*(C/HAL)*G
Berlin-Karlshorst,10035,Merseburg Hbf,10232,186,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Michendorf,10233,48,BKH*BSFL*MIDO
Berlin-Karlshorst,10035,Narsdorf,10238,225,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Nauen,10239,54,B*(P/HENN)*NAU
Berlin-Karlshorst,10035,Naumburg(Saale)Hbf,10240,229,BSFL*(L/HAL)*NMB
Berlin-Karlshorst,10035,Neubrandenburg,10241,164,B*FUB*NZ
Berlin-Karlshorst,10035,Neukieritzsch,10243,202,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Neumark(Sachs),10244,263,BSFL*(DD/L)*WDA
Berlin-Karlshorst,10035,Neuruppin West,10246,81,BKH*B*NP
Berlin-Karlshorst,10035,Neustadt(Dosse),10248,94,B*(P/HENN)*NAU
Berlin-Karlshorst,10035,Neustrelitz Hbf,10250,129,B*FUB*NZ
Berlin-Karlshorst,10035,Nordhausen,10256,270,BSFL*(WB/B)*L*HAL*NDH
Berlin-Karlshorst,10035,Oebisfelde,10261,222,B*(RSL/BRB)*MD
Berlin-Karlshorst,10035,Pasewalk,10268,154,B*EW*PZ*PW
Berlin-Karlshorst,10035,Pirna,10272,199,BSFL*ELW*DD
Berlin-Karlshorst,10035,Plaue(Thür),10274,322,BSFL*(L/HAL)*EF
Berlin-Karlshorst,10035,Potsdam Hbf,12666,42,B*BWA*P
Berlin-Karlshorst,10035,Potsdam Pirschheide,10279,51,BKH*BSFL*PPIR
Berlin-Karlshorst,10035,Prenzlau,10282,130,BKH*B*PZ
Berlin-Karlshorst,10035,Priemerburg,10284,213,B*FUB*NZ
Berlin-Karlshorst,10035,Probstzella,10288,357,B*(DD/HAL)*NMB*(JS/EF)*PRO
Berlin-Karlshorst,10035,Riesa,10297,149,BSFL*(ZS/WB)*RIE
Berlin-Karlshorst,10035,Röblingen am See,10299,199,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Ronneburg(Thür),10301,259,BSFL*(C/HAL)*G
Berlin-Karlshorst,10035,Roßlau(Elbe),10302,128,B*(WB/P)*RSL
Berlin-Karlshorst,10035,Rostock Hbf,10304,251,B*NZ*HRO
Berlin-Karlshorst,10035,Rottenbach,10305,362,B*(L/MD)*EF
Berlin-Karlshorst,10035,Rudolstadt(Thür),10306,305,BSFL*(L/HAL)*JS
Berlin-Karlshorst,10035,Ruhland,10308,153,BSFL*ZS*DOKI*ELW
Berlin-Karlshorst,10035,Saalfeld(Saale),10309,315,BSFL*(DOKI*L/HAL*EF)*SLF
Berlin-Karlshorst,10035,Salzwedel,10310,181,B*(P/HENN)*SDL
Berlin-Karlshorst,10035,Sandersleben(Anh),10311,202,BSFL*(HAL/MD)*GUS
Berlin-Karlshorst,10035,Sangerhausen,10312,232,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Schöna(Gr),10316,233,BSFL*DD*BSU
Berlin-Karlshorst,10035,Schönebeck(Elbe),10318,173,B*(RSL/BRB)*MD
Berlin-Karlshorst,10035,Schönefeld (b.Bln.),10109,13,BKH*BSFL
Berlin-Karlshorst,10035,Schwerin Hbf,10324,226,B*(SDL/NZ)*SN
Berlin-Karlshorst,10035,Senftenberg,10327,147,B*KW*LN*CA
Berlin-Karlshorst,10035,Sömmerda,10328,282,BSFL*(L/HAL)*NMB
Berlin-Karlshorst,10035,Sondershausen,10329,290,BSFL*(WB/B)*L*HAL*NDH
Berlin-Karlshorst,10035,Sonneberg(Thür)Hbf,13008,462,B*BTF*(L/HAL)*JS*LIF
Berlin-Karlshorst,10035,St Egidien,10331,241,BSFL*(DD/L)*C
Berlin-Karlshorst,10035,Stendal Hbf,10334,123,B*(P/HENN)*SDL
Berlin-Karlshorst,10035,Stralsund Hbf,10338,263,B*(HRO/PW)*HST
Berlin-Karlshorst,10035,Suhl,10345,355,BSFL*(L/HAL)*EF
Berlin-Karlshorst,10035,Tantow(Gr),10346,143,BKH*B*EW*TANG
Berlin-Karlshorst,10035,Themar,10350,388,BSFL*(L/HAL)*EF
Berlin-Karlshorst,10035,Triptis,10352,277,BSFL*(C/HAL)*G
Berlin-Karlshorst,10035,Waren(Müritz),10361,165,B*FUB*NZ
Berlin-Karlshorst,10035,Weimar,10366,270,BSFL*(L/HAL)*NMB
Berlin-Karlshorst,10035,Weißenfels,10368,204,BSFL*(WB*L/RSL*KOET)*HAL
Berlin-Karlshorst,10035,Werdau,10372,255,BSFL*(DD/L)*WDA
Berlin-Karlshorst,10035,Werder(Havel),10373,52,B*BWA*P
Berlin-Karlshorst,10035,Wernshausen,10375,389,BSFL*(L/HAL)*EF*WHSN
Berlin-Karlshorst,10035,Wittenberge,10382,145,B*(SDL/NEUD)*WBE
Berlin-Karlshorst,10035,Wriezen,10386,98,BKH*(B/BHS)*WZN
Berlin-Karlshorst,10035,Wustermark,10389,48,B*BSP
Berlin-Karlshorst,10035,Zeitz,10390,221,BSFL*(RIE/RSL)*L
Berlin-Karlshorst,10035,Zella-Mehlis,10391,349,BSFL*(L/HAL)*EF
Berlin-Karlshorst,10035,Zittau,10393,287,BSFL*ELW*DD
Berlin-Karlshorst,10035,Zossen,10395,35,BKH*BSFL*ZS
Berlin-Karlshorst,10035,Zwickau(Sachs)Hbf,10397,264,BSFL*(DD/L)*C
Berlin Ostkreuz,11162,Gerstungen,11629,390,B*(L/MD)*ESA
Berlin Ostkreuz,11162,Gutenfürst,11790,348,B*(DD/HAL)*WDA
Berlin Ostkreuz,11162,Hennigsdorf(b Bln),13483,30,BOK*B*BGS*HENN
Berlin Ostkreuz,11162,Herrnburg,11864,289,B*(SDL/NZ)*SN
Berlin Ostkreuz,11162,Potsdam Hbf,12666,37,B*BWA*P
Berlin Ostkreuz,11162,Sonneberg(Thür)Hbf,13008,457,B*BTF*(L/HAL)*JS*LIF
Berlin-Spandau,10404,Berlin Gesundbrunnen,11102,13,BSP*BGS
Berlin-Spandau,10404,Berlin Hbf,11160,18,BSP*(BGS/BWK)*B*BHBF
Berlin-Spandau,10404,Berlin Ostkreuz,11162,25,BSP*B
Berlin-Spandau,10404,Berlin Südkreuz,11113,25,BSP*B
Berlin-Spandau,10404,Berlin-Wannsee,10405,39,BSP*B*BWA
Berlin-Spandau,10404,Berlin Westkreuz,11108,9,BSP*BWK
Berlin-Spandau,10404,Gerstungen,11629,401,BSP*(L/MD)*ESA
Berlin-Spandau,10404,Gutenfürst,11790,359,BSP*(DD/SDL)*WDA
Berlin-Spandau,10404,Hennigsdorf(b Bln),13483,41,BSP*WUM*HENN
Berlin-Spandau,10404,Herrnburg,11864,264,BSP*(SDL/NAU)*WBE*SN
Berlin-Spandau,10404,Jena Saalbf,11058,289,BSP*(B/SDL)*JS
Berlin-Spandau,10404,Potsdam Hbf,12666,30,BSP*P
Berlin-Spandau,10404,Sonneberg(Thür)Hbf,13008,468,BSP*B*JS*LIF
Berlin Südkreuz,11113,Berlin Hbf,11160,7,BSK*BHBF
Berlin Südkreuz,11113,Berlin Ostkreuz,11162,14,BSK*B*BOK
Berlin Südkreuz,11113,Gerstungen,11629,390,B*(L/MD)*ESA
Berlin Südkreuz,11113,Gutenfürst,11790,348,B*(DD/HAL)*WDA
Berlin Südkreuz,11113,Hennigsdorf(b Bln),13483,30,BSK*B*BGS*HENN
Berlin Südkreuz,11113,Herrnburg,11864,289,B*(SDL/NZ)*SN
Berlin Südkreuz,11113,Potsdam Hbf,12666,37,B*BWA*P
Berlin Südkreuz,11113,Sonneberg(Thür)Hbf,13008,457,B*BTF*(L/HAL)*JS*LIF
Berlin-Wannsee,10405,Berlin Gesundbrunnen,11102,25,BWA*B
Berlin-Wannsee,10405,Berlin Hbf,11160,21,BWA*(BWK/BSK)*BHBF
Berlin-Wannsee,10405,Berlin Ostkreuz,11162,28,BWA*B
Berlin-Wannsee,10405,Berlin Südkreuz,11113,28,BWA*B
Berlin-Wannsee,10405,Berlin Westkreuz,11108,12,BWA*BWK
Berlin-Wannsee,10405,Gerstungen,11629,356,BWA*(B*L/MD*HAL)*ESA
Berlin-Wannsee,10405,Gutenfürst,11790,314,BWA*P*(DZ/HAL)*L*WDA
Berlin-Wannsee,10405,Hennigsdorf(b Bln),13483,57,BWA*(FINK/BHS)*HENN
Berlin-Wannsee,10405,Herrnburg,11864,303,BWA*B*(WBE*LWL/NZ*WRN*BLAM)*SN
Berlin-Wannsee,10405,Jena Saalbf,11058,250,BWA*(L/HAL)*JS
Berlin-Wannsee,10405,Potsdam Hbf,12666,9,BWA*P
Berlin-Wannsee,10405,Sonneberg(Thür)Hbf,13008,429,BWA*L*JS*LIF
Berlin Westkreuz,11108,Berlin Hbf,11160,9,BWK*BHBF
Berlin Westkreuz,11108,Berlin Ostkreuz,11162,16,BWK*B*BOK
Berlin Westkreuz,11108,Berlin Südkreuz,11113,16,BWK*B*BSK
Berlin Westkreuz,11108,Gerstungen,11629,392,B*(L/MD)*ESA
Berlin Westkreuz,11108,Gutenfürst,11790,350,B*(DD/HAL)*WDA
Berlin Westkreuz,11108,Hennigsdorf(b Bln),13483,32,BWK*B*BGS*HENN
Berlin Westkreuz,11108,Herrnburg,11864,291,B*(SDL/NZ)*SN
Berlin Westkreuz,11108,Potsdam Hbf,12666,21,BWA*P
Berlin Westkreuz,11108,Sonneberg(Thür)Hbf,13008,459,B*BTF*(L/HAL)*JS*LIF
Betzdorf(Sieg),34,Aachen Süd(Gr),403,162,K*HORR*DN*AC
Betzdorf(Sieg),34,Altenburg,10003,539,SI*KS*(GOE/EF)*L
Betzdorf(Sieg),34,Arnsdorf(Dresden),10006,636,SI*KS*(NDH/EF)*RIE
Betzdorf(Sieg),34,Aschersleben,10009,433,SI*GI*MR*KS*EICH*(GOE/LEIF)*NDH
Betzdorf(Sieg),34,Aue(Sachs),10010,560,SI*KS*JS*WDA
Betzdorf(Sieg),34,Bad Bentheim(Gr),151,279,SI*(K*DU*HALT/HA*HAM)*MS*RHEI
Betzdorf(Sieg),34,Baden-Baden,774,332,SI*F*KA*BAD
Betzdorf(Sieg),34,Bad Kleinen,10018,667,K*(DU/H)*HL
Betzdorf(Sieg),34,Bad Langensalza,10020,350,SI*KS*EICH
Betzdorf(Sieg),34,Bad Schandau,10022,654,SI*(GOE/EF)*BSU
Betzdorf(Sieg),34,Baunatal-Guntershaus,140,210,SI*GI*MR
Betzdorf(Sieg),34,Berlin Friedrichstr,10038,659,SI*HA*H*MD*B
Betzdorf(Sieg),34,Berlin Gesundbrunnen,11102,663,SI*HA*H*MD*B
Betzdorf(Sieg),34,Berlin Hbf,11160,659,BETZ*SI*(H/NDH)*BWA*BHBF
Betzdorf(Sieg),34,Berlin-Karlshorst,10035,671,SI*HA*H*MD*B
Betzdorf(Sieg),34,Berlin Ostkreuz,11162,666,SI*HA*H*MD*B
Betzdorf(Sieg),34,Berlin-Spandau,10404,664,SI*HA*H*MD*SDL*BSP
Betzdorf(Sieg),34,Berlin Südkreuz,11113,666,SI*HA*H*MD*B
Betzdorf(Sieg),34,Berlin-Wannsee,10405,638,SI*(H/NDH)*BWA
Betzdorf(Sieg),34,Berlin Westkreuz,11108,668,SI*HA*H*MD*B
Betzdorf(Sieg),34,Bielefeld-Brackwede,48,247,SI*(DU/HA)*BI
Betzdorf(Sieg),34,Bielefeld Hbf,36,242,SI*(DU/HA)*BI
Betzdorf(Sieg),34,Bietigheim-Bissingen,38,335,SI*(HN/MA)*BIET
Betzdorf(Sieg),34,Bingen(Rhein) Hbf,39,195,KO*BOP*BIN
Betzdorf(Sieg),34,Bischofswerda,10049,651,SI*KS*(NDH/EF)*RIE
Betzdorf(Sieg),34,Bitterfeld,10050,599,SI*HA*H*BTF
Betzdorf(Sieg),34,Blankenberg(Meckl),10051,685,K*(DU/H)*HL
Betzdorf(Sieg),34,Bocholt,40,205,K*DU*OB
Betzdorf(Sieg),34,Bochum Hbf,41,155,SI*HA*BO
Betzdorf(Sieg),34,Bonn Hbf,44,118,K*BN
Betzdorf(Sieg),34,Boppard Hbf,45,153,BETZ*KO*BOP
Betzdorf(Sieg),34,Borsdorf(Sachs),10059,506,SI*KS*(GOE/EF)*L
Betzdorf(Sieg),34,Bottrop Hbf,47,166,K*BOT
Betzdorf(Sieg),34,Brandenburg Hbf,10060,594,SI*(BI/NDH)*BRB
Betzdorf(Sieg),34,Braunschweig Hbf,49,429,SI*(DU/GOE)*BS
Betzdorf(Sieg),34,Bremen Hbf,50,382,SI*(K*DU/LETM*WIT*HAM)*MS*HB
Betzdorf(Sieg),34,Bremerhaven Hbf,51,444,SI*(K/HA)*MS*OS*BHV
Betzdorf(Sieg),34,Bretleben,10061,404,SI*(GOE/EF)*BRE
Betzdorf(Sieg),34,Bretten,53,295,SI*DIL*GI*FB*F*(HD/MA)*BR
Betzdorf(Sieg),34,Brilon Wald,54,226,SI*HA*SCHW
Betzdorf(Sieg),34,Britz,10064,712,SI*HA*H*MD*B
Betzdorf(Sieg),34,Bruchsal,55,279,SI*DIL*GI*FB*F*(HD/MA)*BR
Betzdorf(Sieg),34,Büchen,58,557,SI*(DU/H)*HH
Betzdorf(Sieg),34,Buchholz(Nordheide),56,466,SI*(K*DU/LETM*WIT*HAM)*MS*HB
Betzdorf(Sieg),34,Buchloe,57,578,SI*(N/MA)*BULO
Betzdorf(Sieg),34,Bünde(Westf),59,270,SI*(DU/HA)*BI
Betzdorf(Sieg),34,Burg-u.Ndr Gemünden,61,128,SI*DIL*HEBO*GI
Betzdorf(Sieg),34,Calau(Nl),10069,620,SI*(NDH/EF)*CA
Betzdorf(Sieg),34,Calbe(Saale) Ost,10070,540,SI*(BI/HAL)*MD
Betzdorf(Sieg),34,Calbe(Saale) West,10071,546,SI*(BI/HAL)*MD
Betzdorf(Sieg),34,Calw,63,359,SI*GI*F*(HD*BR/MA*KA)*PF
Betzdorf(Sieg),34,Celle,64,410,SI*(K*DU/HA)*HAM*BI*MI*H
Betzdorf(Sieg),34,Chemnitz Hbf,10184,552,SI*KS*(NDH/JS)*C
Betzdorf(Sieg),34,Coburg,1338,448,SI*(FD/N)*LIF
Betzdorf(Sieg),34,Coesfeld(Westf),66,238,K*COE
Betzdorf(Sieg),34,Cölbe,65,123,SI*GI*MR
Betzdorf(Sieg),34,Coswig(b Dresden),10072,596,SI*KS*(NDH/EF)*RIE
Betzdorf(Sieg),34,Cottbus Hbf,10073,644,SI*(GOE/EF)*CB
Betzdorf(Sieg),34,Crailsheim,67,407,SI*(N/S)*CR
Betzdorf(Sieg),34,Darmstadt Hbf,68,184,SI*F*DA
Betzdorf(Sieg),34,Delitzsch,10076,611,SI*HA*H*BTF
Betzdorf(Sieg),34,Delmenhorst,70,432,K*(DU/HA)*HB
Betzdorf(Sieg),34,Derneburg(Han),71,423,SI*HA*(DO/UN)*HAM*BI*H*HI
Betzdorf(Sieg),34,Dessau Hbf,10077,573,SI*H*MD*RSL
Betzdorf(Sieg),34,Dillenburg,74,49,BETZ*SI*DIL
Betzdorf(Sieg),34,Dillingen(Saar),75,307,KO*TR
Betzdorf(Sieg),34,Döbeln Hbf,10080,560,SI*(GOE/EF)*DL
Betzdorf(Sieg),34,Doberlug-Kirchhain,10079,588,SI*KS*(GOE/EF)*L
Betzdorf(Sieg),34,Donaueschingen,77,473,SI*F*KA*OG
Betzdorf(Sieg),34,Donauwörth,78,494,SI*(N/S)*DON
Betzdorf(Sieg),34,Dortmund Hbf,80,158,SI*HA*DO
Betzdorf(Sieg),34,Dresden Hbf,10085,614,SI*(GOE/EF)*DD
Betzdorf(Sieg),34,Duisburg Hbf,86,149,K*(NE/D)*DU
Betzdorf(Sieg),34,Dülmen,83,203,SI*HA*DO
Betzdorf(Sieg),34,Düren,84,124,BETZ*K*DN
Betzdorf(Sieg),34,Düsseldorf Hbf,85,125,K*(LEVM/NE)*D
Betzdorf(Sieg),34,Eberswalde Hbf,10093,707,SI*HA*H*MD*B
Betzdorf(Sieg),34,Eichenberg,90,272,SI*KS*EICH
Betzdorf(Sieg),34,Eilenburg,10095,519,SI*KS*(GOE/EF)*L
Betzdorf(Sieg),34,Eilsleben(Magdeb),10096,515,K*(OS/HA)*BS
Betzdorf(Sieg),34,Eisenach Hbf,10097,321,SI*KS*ESA
Betzdorf(Sieg),34,Elmshorn,92,540,SI*(DU/H)*HH
Betzdorf(Sieg),34,Elsterwerda,10099,584,SI*(GOE/EF)*ELW
Betzdorf(Sieg),34,Elze(Han),93,386,SI*HA*(DO/UN)*HAM*BI*H*ELZE
Betzdorf(Sieg),34,Emden Hbf,1768,395,SI*(D*DU*HALT/HA*HAM)*MS*LER
Betzdorf(Sieg),34,Emmerich,1773,218,K*DU*EMM
Betzdorf(Sieg),34,Engers,94,123,BETZ*TROI*ENG
Betzdorf(Sieg),34,Erfurt Hbf,10101,378,SI*KS*EF
Betzdorf(Sieg),34,Erlangen,1844,421,SI*(FD/F)*ER
Betzdorf(Sieg),34,Essen Hbf,98,169,K*(RHH*DU*MH/SG*LBG)*E
Betzdorf(Sieg),34,Euskirchen,100,125,BETZ*K*EU
Betzdorf(Sieg),34,Eutingen im Gäu,101,434,SI*GI*F*(HD*BRT/MA*KA)*S
Betzdorf(Sieg),34,Falkenberg(Elster),10103,565,SI*KS*(GOE/EF)*L
Betzdorf(Sieg),34,Finnentrop,102,63,BETZ*SI*FIN
Betzdorf(Sieg),34,Flensburg,103,679,SI*(DU/H)*FL
Betzdorf(Sieg),34,Flöha,10108,565,SI*KS*(NDH/JS)*C
Betzdorf(Sieg),34,Forbach(fr),2021,368,SI*(F/TR)*SB
Betzdorf(Sieg),34,Forst(Lausitz),10111,666,SI*(GOE/EF)*CB
Betzdorf(Sieg),34,Frankenberg(Eder),104,153,SI*GI*MR
Betzdorf(Sieg),34,Frankfurt(M)Flugh.,281,167,SI*F*FFMF
Betzdorf(Sieg),34,Frankfurt(Main)Hbf,105,156,SI*GI*F
Betzdorf(Sieg),34,Frankfurt(Oder),10113,746,SI*(H/HAL)*B*FF
Betzdorf(Sieg),34,Frankfurt-Höchst,106,166,SI*GI*F
Betzdorf(Sieg),34,Freiberg(Sachs),10115,654,SI*(GOE/EF)*DD
Betzdorf(Sieg),34,Freiburg(Brsg)Hbf,107,539,K*(F/MZ)*KA*FR
Betzdorf(Sieg),34,Freilassing,108,680,SI*(FD/S)*FREI
Betzdorf(Sieg),34,Freudenstadt Hbf,110,383,SI*(S/OG)*FDS
Betzdorf(Sieg),34,Friedberg(Hess),111,122,SI*DIL*HEBO*GI
Betzdorf(Sieg),34,Friedrichshafen St.,112,557,SI*(UL/OG)*FN
Betzdorf(Sieg),34,Fröndenberg,113,155,SI*HA*SCHW
Betzdorf(Sieg),34,Frose,10119,576,SI*H*MD*GUS
Betzdorf(Sieg),34,Fulda,115,197,SI*DIL*GI*(LAUT/F*HU*GELN)*FD
Betzdorf(Sieg),34,Fürstenberg(Havel),10399,796,SI*HA*H*MD*B*NZ
Betzdorf(Sieg),34,Fürstenwalde(Spree),10120,711,SI*HA*H*MD*B
Betzdorf(Sieg),34,Fürth(Bay)Hbf,114,397,SI*(FD/F)*N*FUE
Betzdorf(Sieg),34,Garmisch-Partenk.,2187,667,SI*(R/S)*GAP
Betzdorf(Sieg),34,Geestgottberg,10121,651,K*DO*H*MD*SDL
Betzdorf(Sieg),34,Gelnhausen,117,159,SI*DIL*HEBO*GI
Betzdorf(Sieg),34,Gelsenkirchen Hbf,118,176,K*GE
Betzdorf(Sieg),34,Geltendorf,119,550,SI*(N/S)*A
Betzdorf(Sieg),34,Gemünden(Main),120,256,SI*GI*F*GEM
Betzdorf(Sieg),34,Gensingen-Horrweiler,121,207,KO*BOP*BIN
Betzdorf(Sieg),34,Genthin,10123,596,K*H*(OEB/BS)*MD
Betzdorf(Sieg),34,Gera Hbf,10125,469,SI*KS*JS*G
Betzdorf(Sieg),34,Gerolstein,123,196,BETZ*K*GERO
Betzdorf(Sieg),34,Gerstungen,11629,297,SI*(KS/F)*BEB
Betzdorf(Sieg),34,Gießen,124,89,SI*DIL*HEBO*GI
Betzdorf(Sieg),34,Gifhorn,185,425,SI*(K*DU/HA)*HAM*BI*MI*H
Betzdorf(Sieg),34,Gladbeck West,125,175,K*BOT
Betzdorf(Sieg),34,Glauchau(Sachs),10129,520,SI*KS*JS*G
Betzdorf(Sieg),34,Göppingen,127,418,SI*F*(DA/MZ)*BR*S*PLO
Betzdorf(Sieg),34,Görlitz,10131,720,SI*(GOE/EF)*GR
Betzdorf(Sieg),34,Goslar,130,458,SI*HA*(DO/UN)*HAM*BI*H*HI
Betzdorf(Sieg),34,Gotha,10136,350,SI*KS*GTH
Betzdorf(Sieg),34,Göttingen,128,292,SI*(KS/F)*GOE
Betzdorf(Sieg),34,Graben-Neudorf,131,284,SI*F*MA
Betzdorf(Sieg),34,Grambow(Gr),10138,862,K*DO*H*MD*B*PW
Betzdorf(Sieg),34,Grevenbroich,133,119,BETZ*K*GREV
Betzdorf(Sieg),34,Groß Gerau,136,198,SI*F*DA
Betzdorf(Sieg),34,Grünstadt,137,252,SI*GI*(DA/MZ)*WO
Betzdorf(Sieg),34,Günzburg,139,478,SI*(F/KO)*UL
Betzdorf(Sieg),34,Güsen(b Genthin),10151,581,K*H*(OEB/BS)*MD
Betzdorf(Sieg),34,Güsten,10152,557,SI*H*MD*GUS
Betzdorf(Sieg),34,Güstrow,10153,722,K*(HL/MD)*GUE
Betzdorf(Sieg),34,Gutenfürst,11790,579,SI*GI*(FD/F)*WUE*(LIF/N)*HO
Betzdorf(Sieg),34,Güterglück,10154,579,K*H*(OEB/BS)*MD
Betzdorf(Sieg),34,Gütersloh Hbf,2461,224,SI*FIN*HA*(WIT*DO/SCHW*UN)*HAM
Betzdorf(Sieg),34,Haan-Gruiten,138,119,K*SG
Betzdorf(Sieg),34,Hagen Hbf,142,125,SI*KREU*FIN*HA
Betzdorf(Sieg),34,Halberstadt Hbf,10157,571,SI*(BI/HAL)*MD
Betzdorf(Sieg),34,Halle(Saale)Hbf,10159,444,SI*(GOE/EF)*HAL
Betzdorf(Sieg),34,Halle-Ammendorf,10162,450,SI*(GOE/EF)*HAL
Betzdorf(Sieg),34,Halle-Neustadt,10160,456,SI*(GOE/EF)*HAL
Betzdorf(Sieg),34,Haltern am See,145,208,K*(OB/E)*GE*D*RE
Betzdorf(Sieg),34,Hamburg-Harburg,147,487,SI*(DU/H)*HAR
Betzdorf(Sieg),34,Hamburg Hbf,2549,506,BETZ*(K*DU/SI*H)*HAR*HHH
Betzdorf(Sieg),34,Hamburg-Sternschanze,146,506,SI*(DU/H)*HH
Betzdorf(Sieg),34,Hameln,148,319,SI*(DO/KS)*HM
Betzdorf(Sieg),34,Hamm(Westf)Hbf,149,174,SI*FIN*HA*(WIT*DO/SCHW*UN)*HAM
Betzdorf(Sieg),34,Hanau Hbf,150,181,SI*F*HU
Betzdorf(Sieg),34,Hannover Hbf,152,368,SI*(K*DU/HA)*HAM*BI*MI*H
Betzdorf(Sieg),34,Heide(Holst),155,629,SI*(DU/H)*HEI
Betzdorf(Sieg),34,Heidelberg Hbf,156,244,SI*F*MA*HD
Betzdorf(Sieg),34,Heilbronn Hbf,157,318,SI*GI*(HU*NECK/F*MA*HD)*HN
Betzdorf(Sieg),34,Helmstedt,159,497,K*(OS/HA)*BS
Betzdorf(Sieg),34,Hennigsdorf(b Bln),13483,714,K*H*(MD/HAL)*B
Betzdorf(Sieg),34,Herbertingen,160,530,SI*(F/KO)*UL
Betzdorf(Sieg),34,Herborn(Dillkr),161,55,BETZ*SI*HEBO
Betzdorf(Sieg),34,Herford,162,255,SI*(DU/HA)*BI
