Region,ASTe,NASTe
104,"Celle, Hannover Hbf, Soltau(Han), Wunstorf","Bad Fallingbostel, Bennemühlen, Bissendorf, Dedensen-Gümmer, Dorfmark, Großburgwedel, Hannover Flughafen, Hannover-Ledeburg, Hannover-
Leinhausen, Hannover-Nordstadt, Hannover-Vinnhorst, Hodenhagen, Isernhagen, Langenhagen-Kaltenw., Langenhagen Mitte, Langenhagen Pferdem., Letter,
Lindwedel, Mellendorf, Schwarmstedt, Seelze, Walsrode"
105,"Coesfeld(Westf), Münster(Westf)Hbf","Billerbeck, Coesfeld Schulzentr., Havixbeck, Lutum, Münster-Mecklenbeck, Münster-Roxel"
106,"Bielefeld Hbf, Lage(Lippe)","Bielefeld Ost, Ehlenbruch, Helpup, Oerlinghausen, Oldentrup, Ubbedissen"
107,Plattling,"Außenried, Bayerisch Eisenstein, Bettmannsäge, Bodenmais, Böhmhof, Deggendorf Hbf, Frauenau, Gotteszell, Grafenau, Grafling-Arzting, Großarmschlag,
Gumpenried-Asbach, Klingenbrunn, Langdorf, Lichtenthal, Ludwigsthal, Pankofen, Patersdorf, Regen, Rosenau(b Grafenau), Ruhmannsfelden, Schnitzmühle,
Spiegelau, Teisnach, Teisnach R&S, Triefenried, Viechtach, Viechtach Schule, Zwiesel(Bay), Zwieselau"
108,Bruchsal,"Bahnbrücken, Bruchsal AVG, Gochsheim(Baden), Menzingen(Baden), Münzesheim, Oberöwisheim, Odenheim, Stettfeld(Baden), Ubstadt, Unteröwisheim,
Zeutern"
109,"Ansbach, Crailsheim","Büchelberg, Dombühl, Leutershausen-Wied., Schnelldorf, Zumhaus"
110,Rheydt Hbf,"Arsbeck, Dalheim, Mönchengladbach-Gen, Mönchengladbach-Rhd, Wegberg"
111,"Hannover Hbf, Lehrte","Ahlten, Hannover Ander.Misb., Hannover-Kleefeld, Hannover Wiech-Allee"
112,"Altenbeken, Göttingen, Kreiensen,
Northeim(Han)","Adelebsen, Bad Driburg(Westf), Bad Karlshafen, Beverungen-Wehrden, Bodenfelde, Brakel(Höxter), Ertinghausen, Hardegsen, Holzminden, Höxter-
Godelheim, Höxter-Lüchtringen, Höxter-Ottbergen, Höxter Rathaus, Lauenförde-Beverung, Lenglern, Lödingsen, Offensen(Kr North), Stadtoldendorf, Uslar,
Verliehausen, Vernawahlshausen, Volpriehausen, Vorwohle"
113,"Kirchenlaibach, Marktredwitz","Brand(Fichtelgeb), Ebnath(Oberpf), Fichtelberg, Haidenaab-Göppmanns, Immenreuth, Mehlmeisel, Neusorg, Unterlind, Waldershof"
114,"Kreiensen, Northeim(Han)","Einbeck BBS/PS-Sp., Einbeck Mitte, Einbeck Otto-HahnStr, Einbeck-Salzderhel"
115,"Aalen Hbf, Donauwörth, Günzburg, Ulm Hbf","Bergenweiler, Blindheim, Dillingen(Donau), Giengen(Brenz), Gundelfingen(Bay), Heidenheim, Heidenheim-Mergelst., Heidenheim-Schnaith., Heidenheim
Voithwerk, Herbrechtingen, Hermaringen, Höchstädt(Donau), Itzelberg, Königsbronn, Langenau(Württ), Lauingen, Niederstotzingen, Oberelchingen,
Oberkochen, Rammingen(Württ), Schwenningen(Bay), Sontheim-Brenz, Steinheim(Donau), Tapfheim, Thalfingen(b Ulm), Ulm Ost, Unterelchingen,
Unterkochen"
116,"Elze(Han), Kreiensen","Alfeld(Leine), Banteln, Freden(Leine)"
117,Passau Hbf,"Schönberg(Nbay), Tittling Markt"
118,"Aschaffenburg Hbf, Gemünden(Main)","Heigenbrücken, Hösbach, Langenprozelten, Laufach, Lohr Bahnhof, Partenstein, Wiesthal"
119,"Göttingen, Northeim(Han)",Nörten-Hardenberg
120,Garmisch-Partenk.,"Kainzenbad, Kaltenbrunn(Oberbay), Klais, Mittenwald, Mittenwald(Gr)"
121,"Braunschweig Hbf, Salzgitter-Ringelh.","Salzgitter-Bad, Salzgitter-Immendorf, Salzgitter-Lebenstdt, Salzgitter-Thiede, Salzgitter-Watenst."
122,"Frankenberg(Eder), Korbach Hbf","Frankenberg-Goßberg, Frankenberg-Vierm., Korbach Süd, Vöhl-Ederbringhaus., Vöhl-Herzhausen, Vöhl-Schmittlotheim, Vöhl-Thalitter"
123,"Helmstedt, Wolfenbüttel","Dettum, Jerxheim, Neu Büddenstedt, Schöningen, Schöppenstedt, Söllingen(Braunsch), Watenstedt"
124,"Neuwied, Troisdorf","Bad Honnef(Rhein), Bad Hönningen, Bonn-Beuel, Bonn-Oberkassel, Erpel(Rhein), Friedrich Wilhelmsh., Königswinter, Leubsdorf(Rhein), Leutesdorf(Rhein),
Linz(Rhein), Menden(Rheinl), Niederdollendorf, Rheinbrohl, Rhöndorf, Unkel"
125,"Garmisch-Partenk., Weilheim(Oberbay)","Altenau(Bay), Bad Kohlgrub, Bad Kohlgrub Kurhaus, Eschenlohe, Farchant, Grafenaschau, Hechendorf, Huglfing, Murnau, Murnau Ort, Oberammergau,
Oberau, Ohlstadt, Polling, Saulgrub, Seeleiten-Berggeist, Uffing a Staffelsee, Unterammergau"
126,"Bremen Hbf, Bremerhaven Hbf, Hamburg-
Harburg, Stade","Agathenburg, Apensen, Bargstedt, Bremen-Aumund, Bremen-Blumenthal, Bremen-Burg, Bremen-Farge, Bremen Kreinsloger, Bremen-Lesum, Bremen
Mühlenstr., Bremen-Oslebshausen, Bremen-Schönebeck, Bremen-St Magnus, Bremen Turnerstraße, Bremen-Vegesack, Bremen-Walle, Bremerhaven-
Wulsdorf, Bremervörde, Brest-Aspe, Buxtehude, Dollern, Frelsdorf, Geestenseth, Hamburg-Fischbek, Hamburg-Harburg Rath, Hamburg-Heimfeld, Hamburg-
Neugraben, Hamburg Neuwiedenth., Harsefeld, Heinschenwalde, Hesedorf, Horneburg, Klinikum Bremen-Nord, Kutenholz, Loxstedt, Lübberstedt, Lunestedt,
Neukloster(Kr Stade), Neu Wulmstorf, Oerel, Oldenbüttel, Osterholz-Scharmbeck, Ritterhude, Ruschwedel, Sellstedt, Stubben, Wehdel"
127,"Regensburg Hbf, Schwandorf","Klardorf, Maxhütte-Haidhof, Ponholz, Regenstauf"
128,"Brilon Wald, Warburg(Westf)","Beringhausen, Bredelar, Hoppecke, Marsberg, Messinghausen, Scherfede, Westheim(Westf)"
129,"Vienenburg, Wolfenbüttel","Börßum, Schladen(Harz)"
131,"Bad Friedrichsh Hbf, Bretten, Heilbronn Hbf,
Neckargemünd","Aglasterhausen, Babstadt, Bad Rappenau, Bad Rappenau Kurpark, Bad Wimpfen, Bad Wimpfen-Hohenst., Bad Wimpfen im Tal, Bammental, Bauerbach,
Bretten Schulzentrum, Bretten Stadtmitte, Eppingen, Eschelbronn, Flehingen, Gemmingen, Gemmingen West, Gölshausen, Grombach, Heilbr-Böckingen BZ,
Helmstadt, Hoffenheim, Ittlingen, Leingarten, Leingarten Mitte, Leingarten West, Mauer(b Heidelberg), Meckesheim, Neckarbischofsheim N, Neidenstein,
Oberderdingen-Flehi., Reihen, Reilsheim, Richen(b Eppingen), Schwaigern(Württ), Schwaigern West, Sinsheim(Elsenz) Hbf, Sinsheim Museum/Aren,
Steinsfurt, Stetten am Heuchelb., Sulzfeld(Baden), Waibstadt, Zaisenhausen, Zuzenhausen"
132,"Büchen, Lübeck Hbf","Lübeck Flughafen, Lübeck Hochschulsta, Mölln(Lauenb), Ratzeburg"
133,"Grünstadt, Ludwigshafen(Rh)Hbf,
Neustadt(Weinstr)Hbf, Schifferstadt, Worms Hbf","Bad Dürkheim, Bad Dürkheim-Trift, Bobenheim, Böhl-Iggelheim, Deidesheim, Ellerstadt, Erpolzheim, Flomersheim, Frankenthal Hbf, Frankenthal Süd,
Freinsheim, Friedelsheim, Fußgönheim, Gönnheim, Haßloch(Pfalz), Herxheim a B, Kirchheim(Weinstr), Lambsheim, Ludwigshafen-Oggersh, Maxdorf,
Mußbach, Neustadt-Böbig, Oggersheim RNV, Ruchheim, Wachenheim(Pfalz), Weisenheim(Sand)"
134,"Geltendorf, Weilheim(Oberbay)","Dießen, Greifenberg(Oberbay), Raisting, Riederau, Schondorf(Bay), St Alban, St Ottilien, Utting"
135,"Engers, Koblenz Hbf, Niederlahnstein","Koblenz-Ehrenbreit., Vallendar"
136,Weilheim(Oberbay),"Hohenpeißenberg, Peißenberg, Peißenberg Nord, Peiting Nord, Peiting Ost, Schongau"
137,"Ludwigsburg, Plochingen, Renningen, Stuttgart
Hbf, Waiblingen","Altbach, Ditzingen, Esslingen(Neckar), Esslingen-Mettingen, Esslingen-Zell, Fellbach, Höfingen, Korntal, Kornwestheim Pbf, Leonberg, Neuwirtshaus(Por.pl),
Oberesslingen, Rutesheim, Stuttgart-Bad Cannst, Stuttgart Ebitzweg, Stuttgart-Feuerbach, Stuttgart-Münster, Stuttgart Neckarpark, Stuttgart Nord, Stuttgart
Nürn.Str., Stuttgart-Obertürkh, Stuttgart-Sommerrain, Stuttgart-Untertürk, Stuttgart-Zazenh., Stuttgart-Zuffenh., Weilimdorf"
138,"Hockeroda, Probstzella",Unterloquitz
139,Marktredwitz,"Arzberg(Oberfr), Brand(b Marktredw), Cheb(Gr), Schirnding, Seußen"
140,Traunstein,"Bibelöd, Eisenärzt, Höpfling, Ruhpolding, Seiboldsdorf, Siegsdorf, Traundorf"
141,"Kleve, Krefeld Hbf","Aldekerk, Bedburg-Hau, Geldern, Goch, Kempen(Niederrhein), Kevelaer, Nieukerk, Weeze"
142,Freilassing,"Ainring, Bad Reichenhall, Bad Reichenhall-Kir., Bayerisch Gmain, Berchtesgaden Hbf, Bischofswiesen, Freilassing-Hofham, Hammerau, Königssee(Oberbay),
Piding"
143,"Bocholt, Wesel","Hamminkeln, Hamminkeln-Dingden, Wesel-Blumenkamp"
144,Hervest-Dorsten,"Borken(Westf), Deuten, Marbeck-Heiden, Rhade"
145,"Bayreuth Hbf, Hof Hbf, Lichtenfels,
Marktredwitz, Neuenmarkt-Wirsberg, Probstzella","Bad Steben, Burgkunstadt, Drossenfeld, Erkersreuth, Förbau, Förtschendorf, Gundelsdorf, Heinersreuth, Helmbrechts, Hildbrandsgrün, Hochstadt-
Marktzeuln, Höchstädt-Thierst., Hof-Neuhof, Höllenthal, Kasendorf, Katschenreuth, Kirchenlamitz Ost, Kirchenlamitz Stadt, Köditz, Kronach, Krumme Fohre,
Kulmbach, Küps, Lauenstein(Oberfr), Leupoldsdorf, Ludwigschorgast, Ludwigsstadt, Mainleus, Mainroth, Marktleuthen, Marktschorgast, Martinlamitz,
Marxgrün, Melkendorf, Michelau(Oberfr), Münchberg, Naila, Neuses(b Kronach), Nordhalben, Oberklingensporn, Oberkotzau, Oberlangenstadt, Pressig-
Rothenkirch., Redwitz(Rodach), Rehau, Röslau, Rothenbürg, Schauenstein, Schönwald(Oberfr), Schwarzenbach(Saale), Schwarzenbach a Wald,
Schwarzenhammer, Selbitz, Selb Nord, Selb-Plößberg, Selb-Plößberg(Gr), Selb Stadt, Seulbitz, Sparneck, Stammbach, Stegenwaldhaus, Steinbach a Wald,
Steinwiesen, Stockheim(Oberfr), Thiersheim, Thurnau, Tröstau, Tröstau-Vordorf, Unfriedsdorf, Unterrodach, Untersteinach(b St), Unterweißenbach,
Wallenfels, Weißdorf, Weißenstadt, Wunsiedel, Wunsiedel-Holenbrunn, Wurlitz, Wüstenselbitz, Zell(Oberfr)"
146,"Erlangen, Nürnberg Hbf","Eschenau(Mittelfr), Forth, Gräfenberg, Großgeschaidt, Heroldsberg, Heroldsberg Nord, Igensdorf, Kalchreuth, Neunkirchen a Brand, Nürnberg Nordost,
Rüsselbach, Uttenreuth, Weißenohe"
147,Norden,"Norddeich, Norddeich Mole"
148,"Coesfeld(Westf), Hervest-Dorsten","Lembeck, Reken, Reken-Klein Reken, Reken-Maria Veen, Wulfen(Westf)"
149,"Dülmen, Haltern am See",Sythen
151,"Dülmen, Lünen Hbf","Bork(Westf), Lüdinghausen, Selm, Selm-Beifang"
152,"Flöha, Freiberg(Sachs)","Falkenau(Sachs)Süd, Frankenstein(Sachs), Kleinschirma, Oederan"
153,"Marktredwitz, Weiden(Oberpf)","Altenstadt(Waldnaab), Bärnau(Oberpf), Erbendorf Nord, Eslarn, Floß, Flossenbürg, Friedenfels, Krummennaab, Mitterteich, Moosbach,
Neustadt(Waldnaab), Pechbrunn, Pleystein, Reuth(b Erbendorf), Silberhütte, St Felix, Störnstein, Tirschenreuth, Vohenstrauß, Waidhaus, Waldsassen,
Waldthurn, Wiesau(Oberpf), Windischeschenbach"
155,"Soest, Unna","Hemmerde, Lünern, Werl, Westönnen"
156,"Alzey, Gensingen-Horrweiler, Mainz Hbf","Albig, Armsheim, Gau Bickelheim, Klein Winternheim-Ob, Mainz-Gonsenheim, Mainz-Marienborn, Mainz Waggonfabrik, Nieder Olm, Saulheim,
Sprendlingen(Rheinh), Wallertheim, Welgesheim-Zotzenh., Wörrstadt"
157,"Aschaffenburg Hbf, Seckach, Wertheim","Amorbach, Aschaffenburg Hochs., Aschaffenburg Süd, Bödigheim, Breitendiel, Buchen(Odenw), Buchen Ost, Collenberg, Dorfprozelten, Erlenbach(Main),
Faulbach(Main), Freudenberg-Kirschf., Glanzstoffwerke, Hainstadt(Baden), Hardheim, Hasloch(Main), Kleinheubach, Kleinwallstadt, Klingenberg(Main),
Laudenbach am Main, Miltenberg, Obernau, Obernburg-Elsenfeld, Rippberg, Schneeberg(Odenwald), Stadtprozelten, Sulzbach(Main), Walldürn,
Weilbach(Unterfr), Wertheim-Bestenheid, Wörth(Main)"
158,"Neunkirchen(Saar)Hbf, Saarbrücken Hbf","Brefeld, Bubach, Dirmingen, Eppelborn, Fischbach-Camphausen, Gennweiler, Illingen(Saar), Lebach, Lebach-Jabach, Merchweiler, Quierschied, Schiffweiler,
Wemmetsweiler Rath., Wustweiler"
159,"Gladbeck West, Haltern am See, Recklinghausen
Hbf","Gelsenkirchen-Buer N, Gelsenkirchen-Hassel, Herten(Westf), Herten(Westf)-Weste., Marl-Hamm, Marl Mitte"
160,"Lippstadt, Paderborn Hbf","Dedinghausen, Ehringhausen(Lippst), Geseke, Salzkotten, Scharmede"
161,"Brilon Wald, Korbach Hbf","Eimelrod, Lelbach-Rhena, Usseln, Willingen, Willingen-Stryck"
162,"Bietigheim-Bissingen, Vaihingen(Enz)","Ellental, Sachsenheim, Sersheim"
163,"Bielefeld-Brackwede, Osnabrück Hbf","Borgholzhausen, Dissen-Bad Rothenf., Halle(Westf), Halle(Westf) Arena, Hesseln, Hilter, Kloster Oesede, Künsebeck, Oesede, Osnabrück-Sutthsn., Quelle,
Quelle-Kupferheide, Steinhagen(W) Bi.Str, Steinhagen(Westf), Wellendorf, Westbarthausen"
164,"Finnentrop, Letmathe","Altena(Westf), Plettenberg, Werdohl"
165,"Fulda, Lauterbach(Hess)Nord","Angersbach, Bad Salzschlirf, Großenlüder, Oberbimbach"
166,Rheinhausen,"Alpen, Kamp-Lintfort Süd, Millingen(b Rheinb), Moers, Rheinberg(Rheinl), Rumeln, Trompet, Xanten"
167,"Minden(Westf), Nienburg(Weser)","Leese-Stolzenau, Petershagen-Lahde"
168,"Oberhausen Hbf, Wesel","Dinslaken, Friedrichsfeld(Nrh), Oberhausen-Holten, Oberhausen-Sterkrade, Voerde(Niederrhein)"
169,"Bottrop Hbf, Oberhausen Hbf","Bottrop-Vonderort, Oberhausen-Osterf.S"
170,"Bottrop Hbf, Gladbeck West",Bottrop-Boy
171,"Dillingen(Saar), Völklingen","Bous(Saar), Ensdorf(Saar), Saarlouis Hbf"
172,Dillingen(Saar),"Hemmersdorf(Saar), Niedaltdorf, Siersburg"
173,"Gladbeck West, Hervest-Dorsten, Wanne-Eickel
Hbf","Dorsten, Feldhausen, Gelsenkirchen-Buer S, Gelsenkirchen Zoo, Gladbeck Ost, Gladbeck-Zweckel"
174,"Gelsenkirchen Hbf, Oberhausen Hbf","Essen-Altenessen, Essen-Bergeborbeck, Essen-Dellwig, Essen-Zollver. Nord"
175,"Löhne(Westf), Minden(Westf)","Bad Oeynhausen, Porta Westfalica"
176,"Berlin Friedrichstr, Berlin Hbf, Berlin Südkreuz,
Berlin-Wannsee, Berlin Westkreuz","Berlin Anhalter Bf, Berlin Botanischer G, Berlin Brandenbg.Tor, Berlin Bundesplatz, Berlin Feuerbachstr., Berlin-Friedenau, Berlin-Grunewald, Berlin-
Halensee, Berlin Heidelberg.Pl, Berlin Hohenzollernd, Berlin Innsbrucker P, Berlin Jul.-Leber-Br, Berlin-Lichterf.West, Berlin Mexikoplatz, Berlin-Nikolassee,
Berlin Potsdamer Pl, Berlin Rath.Steglitz, Berlin-Schlachtensee, Berlin-Schöneberg, Berlin Sundgauer Str, Berlin Yorckstraße, Berlin-Zehlendorf"
177,"Hamm(Westf)Hbf, Münster(Westf)Hbf","Drensteinfurt, Hamm-Bockum-Hövel, Mersch(Westf), Münster-Hiltrup, Rinkerode"
178,"Dortmund Hbf, Lünen Hbf","Dortmund-Derne, Dortmund-Kirchderne, Lünen-Preußen"
179,"Aue(Sachs), Zwickau(Sachs)Hbf","Bad Schlema, Cainsdorf, Fährbrücke, Hartenstein, Silberstraße, Wiesenburg(Sachs), Wilkau-Haßlau, Zwickau-Schedewitz"
180,"Dortmund Hbf, Herne","Castrop-Rauxel-Merkl, Castrop-Rauxel Süd, Dortmund-Bövingh., Dortmund-Huckarde N, Dortmund-Lütgend.N, Dortmund-Marten, Dortmund-Rahm, Herne-
Börnig"
182,"Bochum Hbf, Herne, Wanne-Eickel Hbf","Bochum-Hamme, Bochum-Riemke, Bochum West"
183,"Bochum Hbf, Essen Hbf","Essen-Kray Süd, Wattenscheid"
184,Puttgarden,Puttgarden(MS)
186,"Dillingen(Saar), Igel(Gr), Trier Hbf","Apach(fr), Beckingen(Saar), Besch, Besseringen, Fremersdorf, Igel, Kanzem, Karthaus, Konz, Konz Mitte, Kreuz Konz, Merzig(Saar), Merzig-Stadtmitte,
Mettlach, Nennig, Nittel, Oberbillig, Palzem, Perl, Saarburg(Bz Trier), Saarhölzbach, Schoden-Ockfen, Serrig, Taben, Temmels, Trier Süd, Wasserliesch,
Wehr(Mosel), Wellen(Mosel), Wiltingen(Saar), Wincheringen"
187,"Bottrop Hbf, Essen Hbf, Mülheim(Ruhr)Hbf","Essen-Borbeck, Essen-Borbeck Süd, Essen-Dellwig Ost, Essen-Frohnhausen, Essen-Gerschede, Essen West"
188,"Freudenstadt Hbf, Rastatt","Au im Murgtal, Bad Rotenfels Bf, Bad Rotenfels Schl., Bad Rotenfels Weinbr, Baiersbronn Bf, Baiersbronn Schule, Bischweier, Forbach(Schwarzw),
Freudenstadt Indust., Freudenstadt Schulen, Freudenstadt Stadt, Friedrichstal b FDS, Gaggenau Bf, Gaggenau Mercedes-B., Gausbach, Gernsbach Bf,
Gernsbach Mitte, Heselbach, Hilpertsau, Hörden, Huzenbach, Kirschbaumwasen, Klosterreichenbach, Kuppenheim, Langenbrand, Obertsrot, Ottenau, Rastatt
Beinle, Raumünzach, Röt, Schönmünzach, Schwarzenberg, Weisenbach"
189,"Essen Hbf, Gelsenkirchen Hbf","Essen-Kray Nord, Gelsenkirchen-Rotth."
190,"Bretten, Pforzheim Hbf, Vaihingen(Enz)","Bretten Rechberg, Bretten-Ruit, Enzberg, Eutingen(Baden), Illingen(Württ), Knittlingen-Kleinv, Maulbronn Stadt, Maulbronn West, Mühlacker, Mühlacker
Rößlesw, Niefern, Ölbronn-Dürrn, Ötisheim"
191,"Grevenbroich, Horrem, Köln Hbf, Neuss Hbf","Dormagen, Dormagen Chempark, Frechen-Königsdorf, Köln-Blumenberg, Köln-Chorweiler, Köln-Chorweiler N, Köln-Ehrenfeld, Köln Geldernstr/P., Köln
Hansaring, Köln-Longerich, Köln-Müngersdorf T, Köln-Nippes, Köln Volkhov.Weg, Köln-Weiden West, Köln-Worringen, Lövenich, Neuss Allerheiligen, Neuss
Süd, Nievenheim, Norf, Pulheim, Rommerskirchen, Stommeln"
192,"Oldenburg(Holst), Puttgarden","Fehmarn-Burg, Großenbrode"
193,"Duisburg Hbf, Rheinhausen","Duisburg-Hochfeld S, Rheinhausen Ost"
194,"Homburg(Saar)Hbf, Kaiserslautern Hbf","Altenglan, Bruchmühlbach-Mies., Einsiedlerhof, Glan-Münchweiler, Hauptstuhl, Kennelgarten, Kindsbach, Kusel, Landstuhl, Matzenbach, Miesenbach,
Niedermohr, Obermohr, Rammelsbach, Ramstein, Rehweiler, Steinwenden, Theisbergstegen, Vogelweh"
195,"Baunatal-Guntershaus, Malsfeld","Guxhagen, Körle, Melsungen, Melsungen Bartenwbr, Melsungen-Röhrenfu., Melsungen Schwarzen."
196,"Duisburg Hbf, Mülheim(Ruhr)Hbf, Oberhausen
Hbf","Mülheim(Ruhr)Styr., Mülheim(Ruhr)West"
197,Oberhausen Hbf,"Duisburg-Meiderich O, Duisburg-Meiderich S, Duisburg-Obermeider., Duisburg-Ruhrort"
198,"Landau(Pfalz)Hbf, Wörth(Rhein)","Bad Bergzabern, Barbelroth, Insheim, Kandel, Kapellen-Drusweiler, Kapsweyer, Rohrbach(Pfalz), Schaidt(Pfalz), Schweighofen, Steinfeld(Pfalz), Steinweiler,
Winden(Pfalz), Wissembourg(fr), Wörth(Rhein) Badepa, Wörth(Rhein) Bahnm, Wörth(Rhein) Bdalle, Wörth(Rhein) Bienw, Wörth(Rhein) Bürg,
Wörth(Rhein) Mozart, Wörth(Rhein) Raths"
199,"Donaueschingen, Immendingen","Blumberg-Riedöschin, Blumberg-Zollhaus, Geisingen, Geisingen-Aulfingen, Geisingen-Hausen, Geisingen-Kirchen, Geisingen-Leipferdin, Immendingen
Zimmern"
200,"Immendingen, Singen(Hohentwiel), Tuttlingen","Engen, Mühlhausen(b Engen), Singen Landesgarten, Welschingen-Neuhaus."
201,"Immendingen, Tuttlingen","Immendingen Mitte, Möhringen Bahnhof, Möhringen Rathaus, Tuttlingen Gänsäck"
202,"Cölbe, Frankenberg(Eder), Wallau(Lahn)","Biedenkopf, Biedenkopf Campus, Birkenbringhausen, Buchenau(Lahn), Caldern, Carlshütte, Eckelshausen, Ernsthausen, Friedensdorf(Lahn), Goßfelden,
Lahntal-Sarnau, Ludwigshütte, Münchhausen, Simtshausen, Sterzhausen, Wetter(Hessen), Wiesenfeld, Wilhelmshütte(Lahn)"
203,"Hagen Hbf, Schwelm","Gevelsberg Hbf, Gevelsberg-Kipp, Gevelsberg-Knapp, Gevelsberg West, Hagen-Heubing, Hagen-Wehringhausen, Hagen-Westerbauer"
204,"Horb, Rottweil","Aistaig, Oberndorf(Neckar), Sulz(Neckar), Talhausen-Herrenz."
205,"Hagen Hbf, Witten Hbf","Hagen-Vorhalle, Wetter(Ruhr)"
206,"Donaueschingen, Freudenstadt Hbf, Offenburg,
Rottweil, Tuttlingen","Aldingen(b Spaich), Alpirsbach, Bad Dürrheim, Balgheim, Biberach(Baden), Birach, Brigachtal Kirchdorf, Brigachtal Klengen, Deißlingen Mitte, Donauesch.
Grüningen, Donauesch.Mitte/Sied, Donaueschingen Aufen, Furtwangen, Gengenbach, Gutach(Schwarzwaldb), Gutach Freilichtmus., Halbmeil, Haslach,
Hausach, Hornberg(Schwarzw), Kirnbach-Grün, Loßburg-Rodt, Marbach Ost(VS), Marbach West(VS), Oberharmersbach Dorf, Oberharmersbach-Rier,
Offenburg Krs.Schulz, Peterzell-Königsf., Rietheim(Württ), Rottweil Göllsdorf, Rottweil Neufra, Rottweil Saline, Schenkenzell, Schiltach, Schiltach Mitte,
Schonach, Schönwald i Schw, Schramberg, Schwenningen(Neckar), Spaichingen, Spaichingen Mitte, Steinach(Baden), St Georgen(Schwarzw), Triberg,
Trossingen Bahnhof, Trossingen Stadt, Tuttlingen Schulen, Unterharmersbach, Villingen(Schwarzw), Villingen-SchwennEis, Villingen-SchwennHam,
Weilheim(Württ), Wolfach, Wurmlingen Mitte, Wurmlingen Nord, Zell(Harmersbach), Zollhaus(VS)"
207,Duisburg Hbf,"Duisburg-Bissingheim, Duisburg Entenfang, Duisburg-Wedau"
208,"Baden-Baden, Rastatt",Baden-Baden Haueneb
209,"Gießen, Lollar",Gießen-Oswaldsgart.
210,Emden Hbf,Emden Außenhafen
211,"Derneburg(Han), Hildesheim Hbf","Bad Salzdetfurth, Bad Salzdetfurth Sol, Bodenburg, Groß Düngen, Hildesheim Ost, Wesseln"
213,"Haan-Gruiten, Solingen Hbf",Haan
214,"Bochum Hbf, Düsseldorf Hbf, Essen Hbf, Haan-
Gruiten, Wuppertal Hbf","Bochum-Dahlhausen, Bochum-Ehrenfeld, Düsseldorf-Flingern, Düsseldorf-Gerresh., Erkrath, Erkrath-Nord, Essen-Eiberg, Essen-Holthausen, Essen-Horst,
Essen-Kupferdreh, Essen-Steele, Essen-Steele Ost, Essen-Überruhr, Hattingen(R) Mitte, Hattingen(Ruhr), Hochdahl, Hochdahl-Millrath, Mettmann Stadtwald,
Mettmann Zentrum, Neanderthal, Velbert-Langenberg, Velbert-Neviges, Velbert-Nierenhof, Velbert Rosenhügel, Wattenscheid-Höntr., Wülfrath-Aprath,
Wuppertal-Ha/Düssel, Wuppertal-Sonnborn, Wuppertal-Steinbeck, Wuppertal-Vohwinkel, Wuppertal-Zool.Gart."
215,"Lippstadt, Soest",Bad Sassendorf
216,"Frankfurt(M)Flugh., Limburg(Lahn), Montabaur",Limburg Süd
217,"Baunatal-Guntershaus, Treysa","Bad Wildungen, Borken(Hess), Edermünde-Grifte, Felsberg-Altenbruns., Felsberg-Gensungen, Felsberg-Wolfershau., Fritzlar, Mandern, Schlierbach(Sch Ed),
Singlis, Ungedanken, Wabern(Bz Kassel), Wega, Zennern, Zimmersrode"
218,"Kreuztal, Wallau(Lahn)","Amalienhütte, Aue-Wingeshausen, Bad Berleburg, Bad Laasphe, Bad Laasphe-Niederl., Berghausen(b Wittg), Birkelbach, Dahlbruch, Erndtebrück,
Ferndorf(Siegen), Feudingen, Hatzfeld(Eder), Hilchenbach, Hillnhütten, Kredenbach, Leimstruth, Lützel, Oberndorf(Wittgen), Raumland-Markhausen,
Schameder, Stift Keppel-Allenb., Vormwald, Vormwald Dorf"
220,"Bedburg(Erft), Horrem","Bergheim(Erft), Glesch, Paffendorf, Quadrath-Ichendorf, Zieverich"
221,"Hamm(Westf)Hbf, Soest","Borgeln, Hamm-Westtünnen, Welver"
222,"Koblenz Hbf, Neuwied, Remagen","Andernach, Bad Breisig, Brohl, Kaisersesch, Koblenz-Lützel, Koblenz Stadtmitte, Kottenheim, Kruft, Mayen Ost, Mayen West, Mendig, Miesenheim, Monreal,
Mülheim-Kärlich, Namedy, Plaidt, Sinzig(Rhein), Thür, Urmersbach, Urmitz Rheinbrücke, Weißenthurm"
223,"Bielefeld-Brackwede, Gütersloh Hbf",Isselhorst-Avenwedde
224,"Bedburg(Erft), Grevenbroich","Frimmersdorf, Gustorf"
225,"Grevenbroich, Neuss Hbf","Holzheim(b Neuss), Kapellen-Wevelingh."
226,"Hagen Hbf, Schwelm",Ennepetal
227,"Braunschweig Hbf, Gifhorn, Helmstedt,
Wolfsburg Hbf","Calberlah, Fallersleben, Frellstedt, Königslutter, Schandelah, Weddel(Braunschw)"
228,Frankfurt-Höchst,"Frankfurt-Unterlied., Kelkheim, Kelkheim-Hornau, Kelkheim-Münster, Königstein(Taunus), Liederbach, Liederbach-Süd, Schneidhain"
230,"Hagen Hbf, Letmathe",Hohenlimburg
231,"Iserlohn, Letmathe",Letmathe Dechenh.
232,Fröndenberg,"Balve, Binolen, Bösperde, Garbeck, Küntrop, Lendringsen, Menden(Sauerland), Menden(Sauerland)S, Neuenrade, Sanssouci, Volkringhausen"
233,"Iserlohn, Schwerte(Ruhr)","Hennen, Iserlohnerheide, Kalthof(Kr Iserlohn), Schwerte-Ergste"
